2020-09-07 14:30:00-- 14:45:01     :    一  ：DRB钞箱工程样机系统测试问题列表.xlsx - Excel   87/7.25分钟       二  ：财务管理.xlsx - Excel   58/4.83分钟     三  ：Box_2__0000_20200907085711.log - DRB.tat - TextAnalysisTool.NET   8/0.66分钟
2020-09-07 14:45:01-- 15:00:01     :    一  ：D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision   109/9.08分钟       二  ：D:\00-06\DRB-PRESS\Applications\State\State.c (DRB-PRESS) - Sublime Text (UNREGISTERED)   14/1.16分钟     三  ：D:\00-06\DRB-MOSTNEW\Applications\State\State.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)   11/0.91分钟
2020-09-07 15:00:01-- 15:15:01     :    一  ：D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision   109/9.08分钟       二  ：D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision   25/2.08分钟     三  ：LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009071504.log   8/0.66分钟
2020-09-07 15:15:01-- 15:30:01     :    一  ：D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision   82/6.83分钟       二  ：D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision   61/5.08分钟     三  ：EXTFEDU6V12-压钞电机.PDF - Adobe Reader   22/1.83分钟
2020-09-07 15:30:01-- 15:45:01     :    一  ：D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision   99/8.25分钟       二  ：D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision   39/3.25分钟     三  ：LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009071536.log   11/0.91分钟
2020-09-07 15:45:01-- 16:00:01     :    一  ：D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision   83/6.91分钟       二  ：D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision   25/2.08分钟     三  ：LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009071547.log   16/1.33分钟
2020-09-07 16:00:01-- 16:15:01     :    一  ：LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009071607.log   68/5.66分钟       二  ：D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision   66/5.5分钟     三  ：RTT_SeggerLog_202009071601.log - DRB.tat - TextAnalysisTool.NET   39/3.25分钟
2020-09-07 16:15:01-- 16:30:01     :    一  ：EXTFEDU6V12-压钞电机.PDF - Adobe Reader   77/6.41分钟       二  ：D:\00-06\DRB-MOSTNEW\Middlewares\Sensor\Sensor.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)   26/2.16分钟     三  ：D:\00-06\DRB-MOSTNEW\Applications\MotorCtrl\MotorCtrl.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)   18/1.5分钟
2020-09-07 16:30:01-- 16:45:02     :    一  ：E:\Sublime Text Backups\2020-09-07\D\00-06\DRB-PRESS\Applications\State\State_144644.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)   53/4.41分钟       二  ：TheOneForExcel.py - C:\Users\zhangkaifa\Downloads\alipay_record_20200810_0855\TheOneForExcel.py (3.7.3)   21/1.75分钟     三  ：alipay_record_20200907_1352_1.csv - Excel   14/1.16分钟
2020-09-07 16:45:02-- 17:00:03     :    一  ：alipay_record_20200907_1352_1.csv - Excel   43/3.58分钟       二  ：TheOneForExcel - 副本.py - Visual Studio Code [管理员]   33/2.75分钟     三  ：TheOneForExcel.py - C:\Users\zhangkaifa\Downloads\alipay_record_20200810_0855\TheOneForExcel.py (3.7.3)   29/2.41分钟
2020-09-07 17:00:03-- 17:15:03     :    一  ：TheOneForExcel - 副本.py - C:\Users\zhangkaifa\Downloads\alipay_record_20200810_0855\TheOneForExcel - 副本.py (3.7.3)   48/4.0分钟       二  ：Python 3.7.3 Shell   33/2.75分钟     三  ：● TheOneForExcel - 副本.py - Visual Studio Code [管理员]   27/2.25分钟
2020-09-07 17:15:03-- 17:30:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 17:30:03-- 17:45:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 17:45:04-- 18:00:04     :    一  ：alipay_record_20200810_0855   136/11.3分钟       二  ：锁屏状态   34/2.83分钟     三  ：TheOneForExcel - 副本.py - Visual Studio Code [管理员]   6/0.5分钟
2020-09-07 18:00:04-- 18:15:04     :    一  ：锁屏状态   58/4.83分钟       二  ：alipay_record_20200810_0855   32/2.66分钟     三  ：TheOneForExcel - 副本.py - Visual Studio Code [管理员]   24/2.0分钟
2020-09-07 18:15:04-- 18:30:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 18:30:04-- 18:45:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 18:45:04-- 19:00:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 19:00:04-- 19:15:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 19:15:04-- 19:30:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 19:30:04-- 19:45:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 19:45:04-- 20:00:05     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 20:00:05-- 20:15:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 20:15:00-- 20:30:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 20:30:00-- 20:45:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 20:45:00-- 21:00:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 21:00:00-- 21:15:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 21:15:00-- 21:30:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 21:30:00-- 21:45:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 21:45:00-- 22:00:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 22:00:00-- 22:15:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 22:15:00-- 22:30:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 22:30:00-- 22:45:01     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 22:45:01-- 23:00:01     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 23:00:01-- 23:15:01     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 23:15:01-- 23:30:01     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-09-07 23:30:01-- 23:45:01     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
