2021-03-18 16:30:01-- 08:00:00     :    一  ：D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision   83/6.91分钟       二  ：锁屏状态   66/5.5分钟     三  ：新北洋OA信息化平台 - Internet Explorer   44/3.66分钟
2021-03-19 11:30:03-- 11:45:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 11:45:02-- 12:00:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 11:45:03-- 12:00:05     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 12:00:02-- 12:15:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 12:00:05-- 12:15:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 12:15:04-- 12:30:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 12:15:02-- 12:30:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 12:30:00-- 12:45:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 12:30:03-- 12:45:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 12:45:00-- 13:00:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 12:45:03-- 13:00:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 13:00:00-- 13:15:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 13:00:03-- 13:15:03     :    一  ：锁屏状态   111/9.25分钟       二  ：资料共享   16/1.33分钟     三  ：Microsoft Office Outlook 下载_百度搜索 - Google Chrome   15/1.25分钟
2021-03-19 13:15:00-- 13:30:01     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 13:15:03-- 13:30:03     :    一  ：欢迎使用 Microsoft To Do - Google Chrome   43/3.58分钟       二  ：outlook 的搜索结果 - 异次元软件世界 - Google Chrome   18/1.5分钟     三  ：win7 不能用TO DO吗？怎么只有win10的【微软吧】_百度贴吧 - Google Chrome   10/0.83分钟
2021-03-19 13:30:01-- 13:45:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 13:30:03-- 13:45:04     :    一  ：Ao   58/4.83分钟       二  ：Sublime Text   17/1.41分钟     三  ：第三方Microsoft To-do客户端_百度搜索 - Google Chrome   16/1.33分钟
2021-03-19 13:45:02-- 14:00:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 13:45:04-- 14:00:04     :    一  ：(20 封私信 / 80 条消息) 有没有更好的todo软件推荐（android）？ - 知乎 - Google Chrome   31/2.58分钟       二  ：为了将 iOS 上的提醒事项同步到微软日历，我做了这些事 - 少数派 - Google Chrome   25/2.08分钟     三  ：D:\00-06\DRB\Applications\PlateCtrl\LowerPlateCtrl.c (DRB) - Sublime Text (UNREGISTERED)   25/2.08分钟
2021-03-19 14:00:02-- 14:15:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 14:00:04-- 14:15:04     :    一  ：TCR调测工具 V3.36   50/4.16分钟       二  ：BTCRTestTool V3.36   33/2.75分钟     三  ：BTCRTestTool   30/2.5分钟
2021-03-19 14:15:03-- 14:30:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 14:15:04-- 14:30:04     :    一  ：Microsoft Office Standard 2013   35/2.91分钟       二  ：TCR调测工具 V3.36   28/2.33分钟     三  ：Ao   25/2.08分钟
2021-03-19 14:30:04-- 14:45:00     :    一  ：添加新帐户   78/6.5分钟       二  ：Windows 安全   25/2.08分钟     三  ：测试帐户设置   13/1.08分钟
2021-03-19 14:30:03-- 14:45:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 14:45:00-- 15:00:00     :    一  ：TCR调测工具 V3.36   96/8.0分钟       二  ：添加新帐户   25/2.08分钟     三  ：TheDateInfo.xls  [兼容模式] - Excel   14/1.16分钟
2021-03-19 14:45:03-- 15:00:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 15:00:00-- 15:15:00     :    一  ：TCR调测工具 V3.36   48/4.0分钟       二  ：首页 — 极客云 - Google Chrome   12/1.0分钟     三  ：登录 — 极客云 - Google Chrome   11/0.91分钟
2021-03-19 15:00:04-- 15:15:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 15:15:00-- 15:30:00     :    一  ：邮件 - 张 大爷 - Outlook - Google Chrome   21/1.75分钟       二  ：添加新帐户   20/1.66分钟     三  ：Windows 安全   17/1.41分钟
2021-03-19 15:15:04-- 15:30:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 15:30:00-- 15:45:01     :    一  ：TCR调测工具 V3.36   27/2.25分钟       二  ：本地磁盘 (D:)   26/2.16分钟     三  ：给自己的信 - 张开发 - 印象笔记   20/1.66分钟
2021-03-19 15:30:02-- 15:45:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 15:45:01-- 16:00:01     :    一  ：TCR调测工具 V3.36   148/12.3分钟       二  ：本地磁盘 (D:)   26/2.16分钟     三  ：「开始」菜单   2/0.16分钟
2021-03-19 15:45:02-- 16:00:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 16:00:01-- 16:15:01     :    一  ：TCR调测工具 V3.36   157/13.0分钟       二  ：BTCRTestTool   17/1.41分钟     三  ：盘点   6/0.5分钟
2021-03-19 16:00:02-- 16:15:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 16:15:01-- 16:30:01     :    一  ：TCR调测工具 V3.36   172/14.3分钟       二  ：盘点   8/0.66分钟     三  ：   0/0.0分钟
2021-03-19 16:15:02-- 16:30:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 16:30:01-- 16:45:01     :    一  ：TCR调测工具 V3.36   176/14.6分钟       二  ：盘点   4/0.33分钟     三  ：   0/0.0分钟
2021-03-19 16:30:03-- 16:45:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 16:45:01-- 17:00:02     :    一  ：TCR调测工具 V3.36   168/14.0分钟       二  ：BTCRTestTool   12/1.0分钟     三  ：   0/0.0分钟
2021-03-19 16:45:03-- 17:00:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 17:00:02-- 17:15:02     :    一  ：TCR调测工具 V3.36   170/14.1分钟       二  ：钞箱配置   8/0.66分钟     三  ：BTCRTestTool   1/0.08分钟
2021-03-19 17:00:03-- 17:15:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 17:15:02-- 17:30:02     :    一  ：TCR调测工具 V3.36   160/13.3分钟       二  ：BTCRTestTool   13/1.08分钟     三  ：盘点   7/0.58分钟
2021-03-19 17:15:03-- 17:30:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 17:30:02-- 17:45:02     :    一  ：TCR调测工具 V3.36   177/14.7分钟       二  ：盘点   2/0.16分钟     三  ：本地磁盘 (D:)   1/0.08分钟
2021-03-19 17:30:03-- 17:45:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 17:45:02-- 18:00:02     :    一  ：DRB测试缺陷-3.17.xlsx  [只读] - Excel   101/8.41分钟       二  ：TCR调测工具 V3.36   56/4.66分钟     三  ：D:\00-06\DRB\Applications\PlateCtrl\LowerPlateCtrl.c (DRB) - Sublime Text (UNREGISTERED)   16/1.33分钟
2021-03-19 17:45:04-- 18:00:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 18:00:02-- 18:15:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 18:00:04-- 18:15:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 18:15:02-- 18:30:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 18:15:04-- 18:30:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 18:30:03-- 18:45:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 18:30:04-- 18:45:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 18:45:03-- 19:00:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 18:45:04-- 19:00:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 19:00:03-- 19:15:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 19:00:04-- 19:15:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 19:15:04-- 19:30:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 19:15:03-- 19:30:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 19:30:00-- 19:45:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 19:30:03-- 19:45:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 19:45:03-- 20:00:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 20:00:04-- 20:15:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 20:15:02-- 20:30:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 20:30:00-- 20:45:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 19:45:00-- 20:45:06     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
