2020-05-29 13:15:02-- 13:30:02     :    一  ：D:\00-06\DRB-PRESS\Drivers\PeripheralDriver\FtmDriver\CapDriver\PitDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)   67/5.58分钟       二  ：D:\00-KE64\Press\Applications\FlowControl\TrackModule\CashGateModuleApp.c (Press) - Sublime Text (UNREGISTERED)   29/2.41分钟     三  ：D:\00-KE64\Press\Drivers\FtmDriver\SnbcTimerDriver.c (Press) - Sublime Text (UNREGISTERED)   21/1.75分钟
2020-05-29 13:30:02-- 13:45:03     :    一  ：TCR调测工具 V3.36   60/5.0分钟       二  ：Box_2__12121212_20200529133448.log - DRB.tat* - TextAnalysisTool.NET   33/2.75分钟     三  ：D:\00-06\DRB-PRESS\Drivers\ElectroMagnetDriver\ElectroMagnetDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)   28/2.33分钟
2020-05-29 13:45:03-- 14:00:03     :    一  ：TCR（DRB）项目周报.xlsx  [共享] - Excel   46/3.83分钟       二  ：TCR调测工具 V3.36   39/3.25分钟     三  ：个人周报-张开发 (35).xlsx - Excel   28/2.33分钟
2020-05-29 14:00:03-- 14:15:03     :    一  ：K64-_12121212_20200529135646 - 写邮件   37/3.08分钟       二  ：于斌1   36/3.0分钟     三  ：D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision   33/2.75分钟
2020-05-29 14:15:03-- 14:30:03     :    一  ：D:\00-KE64\Press\Project\k64_rtt.uvprojx - μVision   111/9.25分钟       二  ：D:\00-06\DRB-PRESS\Applications\Instruction\InstrHandle.c (Press) - Sublime Text (UNREGISTERED)   35/2.91分钟     三  ：TCR调测工具 V3.36   24/2.0分钟
2020-05-29 14:30:03-- 14:45:04     :    一  ：D:\00-KE64\Press\Project\k64_rtt.uvprojx - μVision   144/12.0分钟       二  ：TCR调测工具 V3.36   32/2.66分钟     三  ：传感器AD值测试   4/0.33分钟
2020-05-29 14:45:04-- 15:00:04     :    一  ：托板控制   116/9.66分钟       二  ：TCR调测工具 V3.36   45/3.75分钟     三  ：D:\00-06\DRB-PRESS\Applications\PlateCtrl\LowerPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)   11/0.91分钟
2020-05-29 15:00:04-- 15:15:04     :    一  ：20180613 TCR内部指令手册_V001.xlsx - Excel   56/4.66分钟       二  ：TCR调测工具 V3.36   47/3.91分钟     三  ：BTCRTestTool   35/2.91分钟
2020-05-29 15:15:04-- 15:30:04     :    一  ：锁屏状态   52/4.33分钟       二  ：发送邮件   42/3.5分钟     三  ：BR-1-CashBox1T2-Press.txt-revBASE.svn001.tmp.txt <--> BR-1-CashBox1T2-Press.txt* - Text Compare - Beyond Compare   12/1.0分钟
2020-05-29 15:30:04-- 15:45:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-05-29 15:45:04-- 16:00:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-05-29 16:00:04-- 16:15:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-05-29 16:15:00-- 16:30:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-05-29 16:30:00-- 16:45:01     :    一  ：20180613 TCR内部指令手册_V001.xlsx - Excel   50/4.16分钟       二  ：D:\00-06\DRB-PRESS\Drivers\StepMotorDriver\StepMotorDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)   34/2.83分钟     三  ：D:\00-06\DRB-PRESS - 提交 - TortoiseSVN   24/2.0分钟
2020-05-29 16:45:01-- 17:00:04     :    一  ：MindMaster Pro   32/2.66分钟       二  ：D:\00-06\DRB-PRESS\Drivers\PeripheralDriver\Ke06bsp\ics.c (DRB-PRESS) - Sublime Text (UNREGISTERED)   30/2.5分钟     三  ：MKE06P80M48SF0RM(中文).pdf - Adobe Reader   27/2.25分钟
