2020-05-19 14:45:03-- 15:00:03     :    一  ：D:\00-KE64\4\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)   160/13.3分钟       二  ：MindMaster Pro   17/1.41分钟     三  ：于斌1   3/0.25分钟
2020-05-19 15:00:03-- 15:15:04     :    一  ：D:\00-KE64\4\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)   114/9.5分钟       二  ：MindMaster Pro   30/2.5分钟     三  ：于斌1   30/2.5分钟
2020-05-19 15:15:04-- 15:30:04     :    一  ：MindMaster Pro   90/7.5分钟       二  ：D:\00-KE64\4\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)   51/4.25分钟     三  ：于斌1   26/2.16分钟
2020-05-19 15:30:04-- 15:45:02     :    一  ：D:\00-KE64\4\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)   89/7.41分钟       二  ：eSpace   19/1.58分钟     三  ：D:\00-KE64\4\trunk\Project\k64_rtt.uvprojx - μVision   17/1.41分钟
2020-05-19 15:45:02-- 16:00:02     :    一  ：thief-book   48/4.0分钟       二  ：Box_2__12121212_20200519155002.log - K64状态机分析.tat* - TextAnalysisTool.NET   30/2.5分钟     三  ：D:\00-KE64\4\trunk\Project\k64_rtt.uvprojx - μVision   27/2.25分钟
2020-05-19 16:00:02-- 16:15:03     :    一  ：D:\00-KE64\4\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)   91/7.58分钟       二  ：TCR调测工具 V3.36   37/3.08分钟     三  ：MindMaster Pro   22/1.83分钟
2020-05-19 16:15:03-- 16:30:03     :    一  ：K64-_12121212_20200519161541.log - K64状态机分析.tat - TextAnalysisTool.NET   49/4.08分钟       二  ：D:\00-KE64\4\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)   41/3.41分钟     三  ：4 第2轮整改DRB测试   30/2.5分钟
2020-05-19 16:30:03-- 16:45:04     :    一  ：TCR调测工具 V3.36   177/14.7分钟       二  ：4 第2轮整改DRB测试   3/0.25分钟     三  ：   0/0.0分钟
2020-05-19 16:45:04-- 17:00:04     :    一  ：D:\00-KE64\4\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c • (trunk) - Sublime Text (UNREGISTERED)   77/6.41分钟       二  ：D:\00-KE64\4\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)   68/5.66分钟     三  ：TCR调测工具 V3.36   15/1.25分钟
2020-05-19 17:00:04-- 17:15:02     :    一  ：D:\00-KE64\4\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)   101/8.41分钟       二  ：锁屏状态   74/6.16分钟     三  ：D:\00-KE64\4\trunk\Project\k64_rtt.uvprojx - μVision   2/0.16分钟
