08:09:50:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
09:03:20:  D:\00-06\DRB-PRESS - 日志信息 - TortoiseSVN
09:03:30:  UpperPlate.c Revision 3931 - TortoiseMerge
09:03:45:  D:\00-06\DRB-PRESS - 日志信息 - TortoiseSVN
09:03:50:  UpperPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:04:40:  远程邮箱管理
09:04:45:  执行远程管理命令
09:04:50:  Box_2__BTCR-1100190803000001_20200709150130.log - DRB.tat* - TextAnalysisTool.NET
09:05:35:  DRB-PRESS
09:05:40:  K64_BTCR-1100190803000001_20200709150701
09:05:45:  Box_2__BTCR-1100190803000001_20200709150701.log - DRB.tat* - TextAnalysisTool.NET
09:05:55:  Box_2__BTCR-1100190803000001_20200709150714.log - DRB.tat* - TextAnalysisTool.NET
09:07:46:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:08:21:  本地磁盘 (D:)
09:08:26:  DRB-PRESS
09:08:31:  D:\00-06\DRB-PRESS - 日志信息 - TortoiseSVN
09:08:41:  UpperPlateCtrl.c Revision 3926 - TortoiseMerge
09:08:56:  D:\00-06\DRB-PRESS - 日志信息 - TortoiseSVN
09:09:01:  UpperPlateCtrl.c Revision 3931 - TortoiseMerge
09:09:11:  D:\00-06\DRB-PRESS - 日志信息 - TortoiseSVN
09:09:21:  UpperPlateCtrl.c Revision 3931 - TortoiseMerge
09:09:36:  UpperPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:09:41:  UpperPlate.c - DRB-PRESS - Visual Studio Code [管理员]
09:09:51:  UpperPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:09:56:  ● UpperPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:10:06:  UpperPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:10:26:  ● UpperPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:10:46:  UpperPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:11:16:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:11:31:  计算器
09:11:41:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:12:51:  TCRControlCmdDLL
09:12:56:  20200709
09:13:01:  TCRControlCmdDLL
09:13:06:  ID-4 反向盘点盘不完
09:13:16:  存款确认后，钞箱存在异响
09:13:26:  fenxi
09:13:31:  问题日志
09:13:36:  20200709
09:13:41:  本地磁盘 (D:)
09:13:46:  20200709
09:13:51:  LOG
09:14:21:  Decode
09:14:26:  fenxi
09:14:31:  7.9问题
09:14:36:  20200709
09:14:46:  LOG
09:14:51:  Box_2__BTCR-1100190803000001_20200709150714.log - DRB.tat* - TextAnalysisTool.NET
09:14:56:  Box_1__BTCR-1100190802300005_20200709160913.log - DRB.tat* - TextAnalysisTool.NET
09:14:21:  Decode
09:14:26:  fenxi
09:14:31:  7.9问题
09:14:36:  20200709
09:14:46:  LOG
09:14:51:  Box_2__BTCR-1100190803000001_20200709150714.log - DRB.tat* - TextAnalysisTool.NET
09:14:56:  Box_1__BTCR-1100190802300005_20200709160913.log - DRB.tat* - TextAnalysisTool.NET
09:15:06:  LOG
09:15:11:  Box_1__BTCR-1100190802300005_20200709162112.log - DRB.tat* - TextAnalysisTool.NET
09:15:36:  K64_BTCR-1100190802300005_20200709160913
09:15:41:  Box_1__BTCR-1100190802300005_20200709160913.log - DRB.tat* - TextAnalysisTool.NET
09:15:51:  K64_BTCR-1100190802300005_20200709162112
09:15:56:  K64_BTCR-1100190802300005_20200709162117
09:16:01:  Box_1__BTCR-1100190802300005_20200709162117.log - DRB.tat* - TextAnalysisTool.NET
09:16:31:  K64_BTCR-1100190802300005_20200709162328
09:16:41:  K64_BTCR-1100190802300005_20200709162400
09:16:46:  Box_1__BTCR-1100190802300005_20200709162400.log - DRB.tat* - TextAnalysisTool.NET
09:17:06:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:17:46:  自动播放
09:17:51:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:18:01:  Tools
09:18:16:  未命名 - 写邮件
09:19:16:  未命名 - 写邮件   09:19:13 已保存
09:20:16:  未命名 - 写邮件   09:20:13 已保存
09:21:16:  未命名 - 写邮件   09:21:13 已保存
09:21:31:  计算器
09:21:41:  未命名 - 写邮件   09:21:13 已保存
09:22:16:  未命名 - 写邮件   09:22:13 已保存
09:22:31:  Tools
09:22:36:  BTCR-1100_BOX1T2_KE06_FV1001_EXTFEDU6V11_MAIN_T11 - 写邮件   09:22:13 已保存
09:22:41:  DRB - 写邮件   09:22:13 已保存
09:22:46:  DRB 压板结构 - 写邮件   09:22:13 已保存
09:22:51:  DRB 压板结构固件 - 写邮件   09:22:13 已保存
09:23:16:  锁屏状态
09:23:21:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
09:24:31:  ● CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
09:24:36:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
09:24:51:  设置 - DRB-PRESS - Visual Studio Code [管理员]
09:25:01:  PressurePlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:35:28:  新建文本文档.exe - 快捷方式
09:35:33:  新北洋OA信息化平台 - Internet Explorer
09:35:43:  登陆到CoPlan - Internet Explorer
09:36:48:  fenxi
09:36:53:  登陆到CoPlan - Internet Explorer
09:36:58:  新标签页 - Google Chrome
09:37:08:  Oracle | PeopleSoft Enterprise 登录 - Google Chrome
09:37:23:  登陆到CoPlan - Internet Explorer
09:37:38:  http://snbcproject.byintra.com/Login.aspx - Internet Explorer
09:37:43:  员工自助 - Google Chrome
09:37:48:  考勤异常 - Google Chrome
09:40:03:  PressurePlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:40:08:  eSpace
09:40:13:  考勤异常 - Google Chrome
09:41:23:  新北洋OA信息化平台 - Internet Explorer
09:41:43:  0_发起流程_补签卡流程 - Internet Explorer
09:41:53:  登陆到CoPlan - Internet Explorer
09:41:58:  PressurePlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:42:03:  DRB传感器.txt - 记事本
09:42:28:  PressurePlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:42:33:  打开文件夹
09:42:48:  Track.c - trunk - Visual Studio Code
09:42:53:  Track.c - trunk - Visual Studio Code [管理员]
09:43:23:  Plate.c - trunk - Visual Studio Code [管理员]
09:43:28:  DRB传感器.txt - 记事本
09:43:58:  Plate.c - trunk - Visual Studio Code [管理员]
09:44:03:  DRB传感器.txt - 记事本
09:46:28:  Track.c - trunk - Visual Studio Code [管理员]
09:46:43:  TrackCtrl.c - trunk - Visual Studio Code [管理员]
09:46:58:  Track.c - trunk - Visual Studio Code [管理员]
09:47:08:  DRB传感器.txt - 记事本
09:47:28:  SensorDriver.h - trunk - Visual Studio Code [管理员]
09:47:33:  DRB传感器.txt - 记事本
09:47:38:  SensorDriver.h - trunk - Visual Studio Code [管理员]
09:47:48:  DRB传感器.txt - 记事本
09:47:53:  SensorDriver.h - trunk - Visual Studio Code [管理员]
09:47:58:  Track.c - trunk - Visual Studio Code [管理员]
09:48:23:  DRB传感器.txt - 记事本
09:48:43:  SensorDriver.h - trunk - Visual Studio Code [管理员]
09:48:53:  DRB传感器.txt - 记事本
09:49:18:  SensorDriver.h - trunk - Visual Studio Code [管理员]
09:49:38:  Sensor.c - trunk - Visual Studio Code [管理员]
09:50:18:  SensorDriver.c - trunk - Visual Studio Code [管理员]
09:50:33:  桌面整理
09:50:43:  钞箱 - Everything
09:50:48:  锁屏状态
09:50:53:  钞箱资料
09:50:58:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:51:03:  阅读未加标签文档
09:51:08:  EXTFEDUV21_1t1.PDF - Adobe Reader
09:51:38:  DRB传感器.txt - 记事本
09:52:28:  SensorDriver.c - trunk - Visual Studio Code [管理员]
09:53:18:  D:\00-06\DRB-PRESS\Applications\Instruction\InstrExecute.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:53:23:  SensorDriver.c - trunk - Visual Studio Code [管理员]
09:53:38:  PublicDriver.c - trunk - Visual Studio Code [管理员]
09:54:23:  EXTFEDUV21_1t1.PDF - Adobe Reader
09:54:48:  PublicDriver.c - trunk - Visual Studio Code [管理员]
09:55:33:  PwmDriver.h - trunk - Visual Studio Code [管理员]
09:55:43:  PublicDriver.c - trunk - Visual Studio Code [管理员]
09:55:48:  DRB传感器.txt - 记事本
09:56:33:  log
09:56:38:  EXTFEDUV21_1t1.PDF - Adobe Reader
09:56:53:  log
09:56:58:  PublicDriver.c - trunk - Visual Studio Code [管理员]
09:57:03:  PwmDriver.h - trunk - Visual Studio Code [管理员]
09:57:18:  PublicDriver.c - trunk - Visual Studio Code [管理员]
09:57:23:  D:\00-06\1T1-Stop-Length\trunk\Middlewares\StepMotor\StepMotor.c (trunk) - Sublime Text (UNREGISTERED)
09:57:33:  D:\00-06\1T1-Stop-Length\trunk\Drivers\PublicDriver\PublicDriver.c (trunk) - Sublime Text (UNREGISTERED)
09:57:48:  D:\00-06\1T1-Stop-Length\trunk\Drivers\PeripheralDriver\FtmDriver\PwmDriver\PwmDriver.c (trunk) - Sublime Text (UNREGISTERED)
09:57:53:  D:\00-06\1T1-Stop-Length\trunk\Drivers\PublicDriver\PublicDriver.c (trunk) - Sublime Text (UNREGISTERED)
09:58:13:  D:\00-06\1T1-Stop-Length\trunk\Drivers\BldcDriver\BldcDriver.c (trunk) - Sublime Text (UNREGISTERED)
09:58:28:  PublicDriver.c - trunk - Visual Studio Code [管理员]
09:58:43:  BldcDriver.c - trunk - Visual Studio Code [管理员]
09:58:58:  网易有道词典
09:59:03:  EXTFEDUV21_1t1.PDF - Adobe Reader
09:59:08:  BldcDriver.c - trunk - Visual Studio Code [管理员]
09:59:53:  EXTFEDUV21_1t1.PDF - Adobe Reader
09:59:58:  DRB传感器.txt - 记事本
09:58:13:  D:\00-06\1T1-Stop-Length\trunk\Drivers\BldcDriver\BldcDriver.c (trunk) - Sublime Text (UNREGISTERED)
09:58:28:  PublicDriver.c - trunk - Visual Studio Code [管理员]
09:58:43:  BldcDriver.c - trunk - Visual Studio Code [管理员]
09:58:58:  网易有道词典
09:59:03:  EXTFEDUV21_1t1.PDF - Adobe Reader
09:59:08:  BldcDriver.c - trunk - Visual Studio Code [管理员]
09:59:53:  EXTFEDUV21_1t1.PDF - Adobe Reader
09:59:58:  DRB传感器.txt - 记事本
10:00:18:  EXTFEDUV21_1t1.PDF - Adobe Reader
10:00:28:  BldcDriver.c - trunk - Visual Studio Code [管理员]
10:00:43:  SensorDriver.c - trunk - Visual Studio Code [管理员]
10:01:03:  EXTFEDUV21_1t1.PDF - Adobe Reader
10:01:08:  SensorDriver.c - trunk - Visual Studio Code [管理员]
10:01:18:  DRB传感器.txt - 记事本
10:02:23:  「开始」菜单
10:02:38:  1T2集成测试 - OneNote
10:02:43:  无标题页 - OneNote
10:02:53:  0  通道传感器           RSC01 - OneNote
10:02:58:  新建文本文档.exe - 快捷方式
10:03:03:  PaperManage.c - trunk - Visual Studio Code [管理员]
10:03:08:  跳转列表
10:03:13:  网易有道词典
10:03:18:  跳转列表
10:03:28:  主页 - Internet Explorer
10:03:33:  新标签页 - Google Chrome
10:03:38:  员工自助 - Google Chrome
10:03:43:  考勤匹配查询 - Google Chrome
10:04:18:  员工自助 - Google Chrome
10:04:23:  我的薪酬 - Google Chrome
10:06:28:  PaperManage.c - trunk - Visual Studio Code [管理员]
10:06:33:  CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
10:06:38:  本地磁盘 (F:)
10:06:43:  小程序
10:06:53:  GetTheCoPlan.py - F:\小程序\GetTheCoPlan.py (3.7.3)
10:07:23:  小程序
10:07:28:  GetTheideal.py - F:\小程序\GetTheideal.py (3.7.3)
10:07:43:  小程序
10:07:58:  GetTheCoPlan.py - F:\小程序\GetTheCoPlan.py (3.7.3)
10:08:18:  我的薪酬 - Google Chrome
10:08:38:  小程序
10:08:43:  本地磁盘 (E:)
10:08:48:  3232.py - trunk - Visual Studio Code [管理员]
10:09:08:  ● 3232.py - trunk - Visual Studio Code [管理员]
10:09:13:  我的薪酬 - Google Chrome
10:09:18:  3232.py - trunk - Visual Studio Code [管理员]
10:09:23:  ● 3232.py - trunk - Visual Studio Code [管理员]
10:09:28:  我的薪酬 - Google Chrome
10:09:38:  ● 3232.py - trunk - Visual Studio Code [管理员]
10:09:58:  3232.py - trunk - Visual Studio Code [管理员]
10:10:18:  ● 3232.py - trunk - Visual Studio Code [管理员]
10:10:23:  3232.py - trunk - Visual Studio Code [管理员]
10:10:33:  ● 3232.py - trunk - Visual Studio Code [管理员]
10:10:43:  CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
10:10:53:  ● 3232.py - trunk - Visual Studio Code [管理员]
10:11:23:  3232.py - trunk - Visual Studio Code [管理员]
10:11:53:  Python 3.7.3 Shell
10:11:58:  3232.py - E:\3232.py (3.7.3)
10:12:03:  *Python 3.7.3 Shell*
10:12:08:  Python 3.7.3 Shell
10:12:58:  3232.py - E:\3232.py (3.7.3)
10:13:08:  *3232.py - E:\3232.py (3.7.3)*
10:13:13:  3232.py - trunk - Visual Studio Code [管理员]
10:13:23:  ● 3232.py - trunk - Visual Studio Code [管理员]
10:13:28:  Python 3.7.3 Shell
10:13:43:  我的薪酬 - Google Chrome
10:13:53:  Python 3.7.3 Shell
10:13:58:  员工自助 - Google Chrome
10:14:03:  我的薪酬 - Google Chrome
10:14:08:  Python 3.7.3 Shell
10:14:13:  3232.py - trunk - Visual Studio Code [管理员]
10:14:28:  锁屏状态
10:14:33:  3232.py - trunk - Visual Studio Code [管理员]
10:14:53:  ● 3232.py - trunk - Visual Studio Code [管理员]
10:14:08:  Python 3.7.3 Shell
10:14:13:  3232.py - trunk - Visual Studio Code [管理员]
10:14:28:  锁屏状态
10:14:33:  3232.py - trunk - Visual Studio Code [管理员]
10:14:53:  ● 3232.py - trunk - Visual Studio Code [管理员]
10:15:13:  3232.py - trunk - Visual Studio Code [管理员]
10:15:18:  3232.py - E:\3232.py (3.7.3)
10:15:28:  Python 3.7.3 Shell
10:15:38:  3232.py - E:\3232.py (3.7.3)
10:15:43:  Python 3.7.3 Shell
10:15:58:  我的薪酬 - Google Chrome
10:16:08:  Employee-facing registry content - Google Chrome
10:16:13:  新标签页 - Google Chrome
10:16:18:  员工自助 - Google Chrome
10:16:28:  Python 3.7.3 Shell
10:16:33:  我的薪酬 - Google Chrome
10:16:38:  Python 3.7.3 Shell
10:16:53:  我的薪酬 - Google Chrome
10:16:58:  基本导航页面 - Google Chrome
10:17:03:  我的薪酬 - Google Chrome
10:17:13:  Python 3.7.3 Shell
10:17:38:  我的薪酬 - Google Chrome
10:19:18:  hrms.byintra.com:8800/cs/HCMPRD/cache/PT_HNAV_TEMPLATE_JS_ZHS_1.js - Google Chrome
10:19:43:  Python 3.7.3 Shell
10:19:58:  hrms.byintra.com:8800/cs/HCMPRD/cache/PT_HNAV_TEMPLATE_JS_ZHS_1.js - Google Chrome
10:20:03:  Python 3.7.3 Shell
10:20:18:  PTAL_ARROW_LEFT_ZHS_1.gif (7×23) - Google Chrome
10:20:23:  Python 3.7.3 Shell
10:20:38:  员工自助 - Google Chrome
10:20:43:  我的薪酬 - Google Chrome
10:24:38:  3232.py - trunk - Visual Studio Code [管理员]
10:24:48:  ● 3232.py - trunk - Visual Studio Code [管理员]
10:25:18:  *Python 3.7.3 Shell*
