08:12:03:  风险提示：招标用DRB钞箱提供存在延期风险
09:47:04:  TCR调测工具 V3.36
09:47:09:  发送指令到K06
09:47:29:  TCR调测工具 V3.36
09:47:49:  测试入口模块
09:47:59:  TCR调测工具 V3.36
09:48:04:  发送指令到K06
09:48:09:  TCR调测工具 V3.36
09:48:19:  读写ERROM
09:48:24:  TCR调测工具 V3.36
09:48:29:  发送指令到K06
09:48:34:  读写ERROM
09:48:39:  TCR调测工具 V3.36
09:48:49:  托板控制
09:48:54:  TCR调测工具 V3.36
09:49:49:  传感器AD值测试
09:49:54:  TCR调测工具 V3.36
09:50:24:  发送指令到K06
09:50:34:  TCR调测工具 V3.36
09:54:29:  DRB--
09:54:34:  Program Manager
09:54:39:  问题日志
09:54:44:  固件版本
09:54:49:  K64
09:54:54:  桌面整理
09:54:59:  TCR调测工具 V3.36
09:55:24:  钞箱配置
09:55:44:  TCR调测工具 V3.36
09:55:54:  打开
09:55:59:  TCR调测工具 V3.36
09:56:19:  BTCRTestTool
09:57:04:  TCR调测工具 V3.36
09:57:54:  钞箱配置
09:57:59:  TCR调测工具 V3.36
10:00:19:  钞箱配置
10:00:24:  TCR调测工具 V3.36
10:09:24:  桌面整理
10:09:29:  跳转列表
10:09:34:  TCRControlCmdDLL
10:09:44:  固件设计中心
10:09:49:  20201009
10:09:54:  TCR调测工具 V3.36
10:10:39:  20201009
10:10:44:  跳转列表
10:10:49:  K64_BTCR-1100190803000_20201009101000.log - [No filter file] - TextAnalysisTool.NET
10:10:59:  K64_BTCR-1100190803000_20201009101000.log - DRB.tat - TextAnalysisTool.NET
10:11:09:  K64_BTCR-1100190803000_20201009101000.log - DRB.tat* - TextAnalysisTool.NET
10:11:19:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
10:11:24:  LOG
10:11:29:  20201009
10:11:34:  TCRControlCmdDLL
10:11:44:  K64_BTCR-1100190803000_20201009101000.log - DRB.tat* - TextAnalysisTool.NET
10:12:24:  TCR调测工具 V3.36
10:14:34:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:14:34:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:15:39:  TCR调测工具 V3.36
10:15:44:  TCRControlCmdDLL
10:15:49:  20201009
10:16:24:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:16:49:  DRB--
10:16:54:  D:\00-06\DRB--\Tools\CreateJK.exe
10:16:59:  打开
10:17:09:  TCR调测工具 V3.36
10:17:29:  20201009
10:18:04:  Decode
10:18:09:  K64_BTCR-1100190803000_20201009101538
10:18:14:  TCR调测工具 V3.36
10:18:59:  通道电机测试
10:19:14:  TCR调测工具 V3.36
10:19:19:  20201009
10:19:29:  Decode
10:19:34:  K64_BTCR-1100190803000_20201009101833
10:19:39:  K64-_BTCR-1100190803000_20201009101833.log - DRB.tat* - TextAnalysisTool.NET
10:19:59:  TCR调测工具 V3.36
10:20:59:  K64_BTCR-1100190803000_20201009101833
10:21:04:  20201009
10:21:09:  Decode
10:21:14:  K64_BTCR-1100190803000_20201009102052
10:28:50:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:28:55:  荆文波
10:29:10:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:28:50:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:28:55:  荆文波
10:29:10:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:30:50:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010090830.log
10:30:55:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:31:05:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091030.log
10:32:15:  锁屏状态
10:32:20:  选择文件夹
10:32:25:  Save Changes?
10:32:30:  D:\00-06\DRB--\Applications\Separate\Separate.c (DRB--) - Sublime Text (UNREGISTERED)
10:32:45:  D:\00-06\DRB--\Applications\MotorCtrl\MotorCtrl.c (DRB--) - Sublime Text (UNREGISTERED)
10:32:50:  D:\00-06\DRB--\Applications\Separate\Separate.c (DRB--) - Sublime Text (UNREGISTERED)
