08:00:54:  自动播放
09:07:28:  D:\00-06\DRB-PRESS\Drivers\StepMotorDriver\StepMotorDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:07:38:  D:\00-06\DRB-PRESS\Drivers\PeripheralDriver\LpitDriver\LpitDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:07:53:  D:\00-06\DRB-PRESS\Drivers\StepMotorDriver\StepMotorDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:08:18:  D:\00-06\DRB-PRESS\Middlewares\StepMotor\StepMotor.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:08:33:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:10:33:  6.4.1 钞箱中断及线程资源测试V1.0.xlsx - Excel
09:10:38:  6.4.1 钞箱中断及线程资源测试V1.1.xlsx  [只读] - Excel
09:10:48:  D:\00-06\DRB-PRESS\Middlewares\StepMotor\StepMotor.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:13:18:  锁屏状态
09:13:23:  主页 - Internet Explorer
09:13:28:  新北洋OA信息化平台 - Internet Explorer
09:13:38:  2020年新北洋张村食堂7.13-7.19菜谱.xlsx  [受保护的视图] - Excel
09:13:58:  6.4.1 钞箱中断及线程资源测试V1.1.xlsx  [只读] - Excel
09:14:08:  新北洋OA信息化平台 - Internet Explorer
09:14:13:  于斌1
09:14:38:  D:\00-06\DRB-PRESS\Middlewares\StepMotor\StepMotor.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:14:08:  新北洋OA信息化平台 - Internet Explorer
09:14:13:  于斌1
09:14:38:  D:\00-06\DRB-PRESS\Middlewares\StepMotor\StepMotor.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:15:53:  6.4.1 钞箱中断及线程资源测试V1.0.xlsx - Excel
09:16:08:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:17:48:  6.4.1 钞箱中断及线程资源测试V1.0.xlsx - Excel
09:19:08:  CashGateModuleApp.c - trunk - Visual Studio Code [管理员]
09:19:14:  CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
09:19:44:  ● CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
09:19:49:  CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
09:22:14:  ● CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
09:23:19:  CashGateModuleApp.c - trunk - Visual Studio Code [管理员]
09:26:34:  ● CashGateModuleApp.c - trunk - Visual Studio Code [管理员]
09:27:14:  CashGateModuleApp.c - trunk - Visual Studio Code [管理员]
09:31:14:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:31:19:  6.4.1 钞箱中断及线程资源测试V1.1.xlsx  [只读] - Excel
09:31:59:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:32:09:  6.4.1 钞箱中断及线程资源测试V1.0.xlsx - Excel
09:32:24:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:32:29:  钞箱集成测试方案-报告
09:32:34:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:34:04:  D:\00-06\DRB-PRESS\Applications\State\State.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:34:19:  D:\00-06\DRB-PRESS\Drivers\PeripheralDriver\RtcDriver\RtcDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:34:24:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:34:29:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c • (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:38:09:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:38:14:  μVision
09:38:24:  锁屏状态
09:38:29:  D:\00-06\DRB-PRESS\Drivers\PeripheralDriver\RtcDriver\RtcDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:38:34:  μVision
09:38:39:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:39:24:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:40:14:  JLink - Cortex-M Error
09:40:19:  μVision
09:40:24:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:40:34:  CashGateModuleApp.c - trunk - Visual Studio Code [管理员]
09:41:19:  ● CashGateModuleApp.c - trunk - Visual Studio Code [管理员]
09:41:44:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:43:04:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:43:09:  D:\00-06\DRB-PRESS\Drivers\PeripheralDriver\FtmDriver\CapDriver\CapDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:43:14:  D:\00-06\DRB-PRESS\Drivers\PeripheralDriver\FtmDriver\CapDriver\CapDriver.c • (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:43:24:  D:\00-06\DRB-PRESS\Drivers\PeripheralDriver\FtmDriver\CapDriver\CapDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:43:29:  D:\00-06\DRB-PRESS\Drivers\PeripheralDriver\LpitDriver\LpitDriver.c • (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:43:34:  μVision
09:43:39:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:46:44:  CashGateModuleApp.c - trunk - Visual Studio Code [管理员]
09:46:54:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:48:09:  RTT_SeggerLog_202007170947.log - DRB.tat* - TextAnalysisTool.NET
09:48:24:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:49:04:  6.4.1 钞箱中断及线程资源测试V1.1.xlsx  [只读] - Excel
09:49:14:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202007170947.log
09:49:29:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:49:49:  D:\00-06\DRB-PRESS\Drivers\PeripheralDriver\LpitDriver\LpitDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:49:54:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:51:34:  6.4.1 钞箱中断及线程资源测试V1.0.xlsx - Excel
09:51:44:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:52:09:  窦志远
09:53:14:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:53:59:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c • (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:54:29:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:54:59:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:55:04:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c • (DRB-PRESS) - Sublime Text (UNREGISTERED)
