11:43:25:  iPhone11 玩游戏太垃圾了 发热降频太恶习【iphone吧】_百度贴吧 - Google Chrome
11:43:30:  iphone11 发热降频_百度搜索 - Google Chrome
11:43:45:  https://www.baidu.com/link?url=J55-7ZD4BJkQRyg3WQTDs30M5Koy09q6VKdpQobornye2DfG4NRFoSppqbvlGM2O&wd=&eqid=b41c452e00027545000000025efc066b - Google Chrome
11:43:50:  醉了，苹果打个王者荣耀发热都要降频卡顿，都这个年代了苹果真的连这点问题都解决不了吗【苹果11吧】_百度贴吧 - Google Chrome
11:44:25:  iphone11 发热降频王者_百度搜索 - Google Chrome
11:44:30:  王者荣耀发热严重，但是还没有降频，之前max会降频，特别是边冲边玩，现在充电和玩没有降频，就是发热超级严重【iphone11pro吧】_百度贴吧 - Google Chrome
11:44:50:  https://www.baidu.com/link?url=4jac5PWv4nMG5PoPZfZapziZ7Ecn66aUqz3_eEqWuFiMgr_s_nkxABbqZbdlVESkEEVXl8vH_gFgKJ8k-vQ-Ca&wd=&eqid=b41c452e00027545000000025efc066b - Google Chrome
11:44:55:  (73 封私信 / 80 条消息) 亲们，夏天到了，你们的iPhone 11发热严重吗? - 知乎 - Google Chrome
11:44:25:  iphone11 发热降频王者_百度搜索 - Google Chrome
11:44:30:  王者荣耀发热严重，但是还没有降频，之前max会降频，特别是边冲边玩，现在充电和玩没有降频，就是发热超级严重【iphone11pro吧】_百度贴吧 - Google Chrome
11:44:50:  https://www.baidu.com/link?url=4jac5PWv4nMG5PoPZfZapziZ7Ecn66aUqz3_eEqWuFiMgr_s_nkxABbqZbdlVESkEEVXl8vH_gFgKJ8k-vQ-Ca&wd=&eqid=b41c452e00027545000000025efc066b - Google Chrome
11:44:55:  (73 封私信 / 80 条消息) 亲们，夏天到了，你们的iPhone 11发热严重吗? - 知乎 - Google Chrome
11:45:15:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
11:45:55:  锁屏状态
13:05:51:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:09:46:  D:\00-06\DRB-PRESS\Applications\HistoryRecord\HistoryRecord.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
13:19:31:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:19:36:  新建文本文档.exe - 快捷方式
13:21:01:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:21:21:  锁屏状态
13:21:26:  新标签页 - Google Chrome
13:21:31:  www.baidu.com - Google Chrome
13:21:36:  百度一下，你就知道 - Google Chrome
13:21:41:  airpods_百度搜索 - Google Chrome
13:21:46:  airpods pro_百度搜索 - Google Chrome
13:21:51:  airpods吧-百度贴吧--AirPods 交流社区--本吧将定期更新相关新闻，增长对于AirPods的认识，帮助吧友解决在使用中遇到的问题，为吧友提供一个交流经验的平台。 - Google Chrome
13:21:56:  airpods pro_百度搜索 - Google Chrome
13:22:06:  airpods对讲机功能_百度搜索 - Google Chrome
13:22:11:  (73 封私信 / 80 条消息) 用AirPods 实现对讲机？ - 知乎 - Google Chrome
13:22:31:  airpods对讲机功能_百度搜索 - Google Chrome
13:22:36:  曝汪涵代言产品翻车_百度搜索 - Google Chrome
13:22:46:  新标签页 - Google Chrome
13:22:56:  百度一下，你就知道 - Google Chrome
13:23:01:  ios14正式版发布时间_百度搜索 - Google Chrome
13:23:46:  新建文本文档.exe - 快捷方式
13:24:01:  锁屏状态
13:24:06:  计算器
13:24:21:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:24:41:  ImpellerCtrl.h - CRS - Visual Studio Code [管理员]
13:25:21:  ● ImpellerCtrl.h - CRS - Visual Studio Code [管理员]
13:25:31:  ImpellerCtrl.h - CRS - Visual Studio Code [管理员]
13:25:46:  C/C++ Configurations - CRS - Visual Studio Code [管理员]
13:25:56:  ImpellerCtrl.h - CRS - Visual Studio Code [管理员]
13:26:01:  C/C++ Configurations - CRS - Visual Studio Code [管理员]
13:26:36:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:26:46:  C/C++ Configurations - CRS - Visual Studio Code [管理员]
13:27:26:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:30:56:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:31:11:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:31:31:  跳转列表
13:31:36:  eSpace
13:31:46:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:31:51:  2020-07-01.txt - 记事本
13:32:51:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:32:56:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:34:41:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
13:34:46:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:35:11:  SeparatorCtrl.c - CRS - Visual Studio Code
13:35:16:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:35:41:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:35:51:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:36:01:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:36:06:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:38:06:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:38:16:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:38:21:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:38:46:  AppCommon.h - CRS - Visual Studio Code [管理员]
13:38:51:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:39:01:  扩展: Astyle - CRS - Visual Studio Code [管理员]
13:39:06:  settings.json - CRS - Visual Studio Code [管理员]
13:39:31:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:39:36:  设置 - CRS - Visual Studio Code [管理员]
13:39:41:  settings.json - CRS - Visual Studio Code [管理员]
13:39:56:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:40:01:  settings.json - CRS - Visual Studio Code [管理员]
13:40:06:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:40:16:  设置 - CRS - Visual Studio Code [管理员]
13:40:21:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:40:26:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:40:31:  settings.json - CRS - Visual Studio Code [管理员]
13:40:36:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:40:41:  settings.json - CRS - Visual Studio Code [管理员]
13:40:46:  新标签页 - Google Chrome
13:40:51:  历史记录 - Google Chrome
13:41:11:  Artistic Style - Google Chrome
13:41:16:  翻译此页？
13:41:51:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:42:01:  settings.json - CRS - Visual Studio Code [管理员]
13:42:06:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:42:11:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:42:21:  艺术风格 - Google Chrome
13:42:31:  settings.json - CRS - Visual Studio Code [管理员]
13:42:46:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:42:51:  settings.json - CRS - Visual Studio Code [管理员]
13:42:56:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:43:01:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:43:11:  ● settings.json - CRS - Visual Studio Code [管理员]
13:43:16:  艺术风格 - Google Chrome
13:43:26:  Artistic Style - Google Chrome
13:43:31:  settings.json - CRS - Visual Studio Code [管理员]
13:43:36:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:43:41:  settings.json - CRS - Visual Studio Code [管理员]
13:43:51:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:43:56:  settings.json - CRS - Visual Studio Code [管理员]
13:44:01:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:44:21:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:44:26:  settings.json - CRS - Visual Studio Code [管理员]
13:44:31:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:44:36:  ● settings.json - CRS - Visual Studio Code [管理员]
13:44:41:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:44:46:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:44:51:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:45:01:  settings.json - CRS - Visual Studio Code [管理员]
13:44:21:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:44:26:  settings.json - CRS - Visual Studio Code [管理员]
13:44:31:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:44:36:  ● settings.json - CRS - Visual Studio Code [管理员]
13:44:41:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:44:46:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:44:51:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:45:01:  settings.json - CRS - Visual Studio Code [管理员]
13:45:06:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:45:16:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:45:26:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:45:31:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:45:36:  艺术风格 - Google Chrome
13:45:51:  ● settings.json - CRS - Visual Studio Code [管理员]
13:45:56:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:46:01:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:46:16:  settings.json - CRS - Visual Studio Code [管理员]
13:46:21:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:47:11:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:47:16:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:47:21:  ● settings.json - CRS - Visual Studio Code [管理员]
13:47:26:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:47:46:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:53:11:  艺术风格 - Google Chrome
13:53:36:  另存为
13:53:46:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:53:51:  另存为
13:54:01:  艺术风格 - Google Chrome
13:54:06:  Artistic Style - Google Chrome
13:54:21:  刘锐
13:54:46:  01-软件
13:54:56:  iTunes 12.9.3.3.rar - WinRAR (非商业个人版)
13:55:01:  刘锐
13:55:11:  settings.json - CRS - Visual Studio Code [管理员]
13:55:21:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:55:26:  Spell Checker Preferences - CRS - Visual Studio Code [管理员]
13:55:46:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:56:11:  于斌1
13:56:36:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:56:56:  于斌1
13:57:01:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:58:56:  于斌1
13:59:06:  刘锐
13:59:11:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:59:26:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:59:41:  2020-07-01.txt - 记事本
13:59:56:  W
14:00:01:  2020-06-29.txt - 记事本
13:58:56:  于斌1
13:59:06:  刘锐
13:59:11:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:59:26:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
13:59:41:  2020-07-01.txt - 记事本
13:59:56:  W
14:00:01:  2020-06-29.txt - 记事本
14:00:16:  W
14:00:21:  于斌1
14:00:46:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
14:04:31:  于斌1
14:04:41:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
14:05:56:  于斌1
14:06:01:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
14:06:56:  settings.json - CRS - Visual Studio Code [管理员]
14:07:01:  ● settings.json - CRS - Visual Studio Code [管理员]
14:07:31:  settings.json - CRS - Visual Studio Code [管理员]
14:07:41:  ● settings.json - CRS - Visual Studio Code [管理员]
14:07:46:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
14:07:51:  eSpace
14:09:36:  刘锐
