08:49:47:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:49:52:  D:\00-KE64\trunk\Applications\FlowControl\CashPress\PressModuleIF.h (trunk) - Sublime Text (UNREGISTERED)
08:49:57:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:51:07:  untitled (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:51:12:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\PressurePlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:51:37:  untitled (trunk) - Sublime Text (UNREGISTERED)
08:51:47:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:55:22:  eSpace
08:55:27:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:56:17:  eSpace
08:56:27:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:58:47:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:59:12:  锁屏状态
08:59:17:  5.18 传感器测试v1.1.xlsx - Excel
08:59:57:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:58:47:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:59:12:  锁屏状态
08:59:17:  5.18 传感器测试v1.1.xlsx - Excel
08:59:57:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:00:07:  KE06LOG.bat - 快捷方式 (2)
09:00:12:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202007111552.log
09:00:22:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202007130900.log
09:01:52:  运行
09:01:57:  问题日志
09:02:07:  问题日志 (未响应)
09:02:22:  问题日志
09:02:27:  10#钞箱AD.txt - 记事本
09:02:37:  问题日志
09:02:47:  上腔RB4-RB21盘点35张报钞箱口 500ms纸币未进入 返回码0X045E0900
09:02:52:  问题日志
09:02:57:  ID-2 初始化报钞箱口 钞票残留，再次初始化，初始化出成功，但下腔显示将空
09:03:02:  ID-4 反向盘点盘不完
09:03:07:  10#钞箱AD.txt - 记事本
09:03:32:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:03:42:  内容准备进度
09:03:47:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:04:42:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202007130900.log
09:04:47:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:05:52:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:07:22:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:18:12:  警告
09:19:42:  Foxmail
09:19:57:  03 项目周报 (未响应)
09:20:02:  03 项目周报
09:20:07:  Excel
09:20:17:  TCR（DRB）项目周报.xlsx  [受保护的视图] - Excel
09:20:47:  Excel
09:20:58:  TCR（DRB）项目周报.xlsx  [共享] - Excel
09:21:53:  20180613 TCR内部指令手册_V001.xlsx - Excel
09:24:28:  跳转列表
09:24:33:  20180613 TCR内部指令手册_V001.xlsx - Excel
09:50:44:  Toolbox
09:50:49:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:53:59:  钞箱1T2集成测试方案
09:54:04:  Windows Installer
09:54:39:  5.6 步进电机测试.pptx [受保护的视图] - PowerPoint
09:56:24:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:57:44:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:58:49:  fenxi
09:58:59:  上腔5元大额存款79张报 通道传输过程中卡钞 超过最大长度持续有钞  返回码0X824602B6
09:59:09:  Decode
