08:43:30:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
08:43:35:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
08:44:30:  Add Filter
08:44:35:  K64_BTCR-1100200700510494_20201016133311.log - DRB.tat* - TextAnalysisTool.NET
08:44:30:  Add Filter
08:44:35:  K64_BTCR-1100200700510494_20201016133311.log - DRB.tat* - TextAnalysisTool.NET
08:57:15:  D:\00-06\1T1-Stop-Length\trunk\Applications\main.c (trunk) - Sublime Text (UNREGISTERED)
08:57:25:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
08:57:30:  K64_BTCR-1100200700510494_20201016133311.log - DRB.tat* - TextAnalysisTool.NET
08:58:00:  D:\00-06\DRB--\Applications\Track\Track.c (DRB--) - Sublime Text (UNREGISTERED)
08:58:10:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
08:58:45:  K64_BTCR-1100200700510494_20201016133311.log - DRB.tat* - TextAnalysisTool.NET
08:58:10:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
08:58:45:  K64_BTCR-1100200700510494_20201016133311.log - DRB.tat* - TextAnalysisTool.NET
09:01:05:  锁屏状态
09:01:10:  20180613 TCR内部指令手册_V001.xlsx - Excel
09:01:15:  K64_BTCR-1100200700510494_20201016133311.log - DRB.tat* - TextAnalysisTool.NET
09:01:20:  11.cpp - DRB-NearFull - Visual Studio Code [管理员]
09:01:25:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:01:30:  CRS-64
09:01:35:  20201026
09:01:40:  Subversion
09:01:45:  查看滑块控件
09:01:50:  Subversion
09:01:55:  文档
09:02:50:  本地磁盘 (D:)
09:02:55:  LogDecrypt
09:03:05:  TcrFirmwareLogDecode.rar - WinRAR (非商业个人版)
09:03:10:  文档
09:03:15:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:03:35:  CRS调试工具
09:03:40:  TCRControlCmdDLL
09:03:45:  20201022
09:03:50:  TcrFirmwareLogDecode.exe
09:03:55:  20201022
09:04:25:  TCRControlCmdDLL
09:04:30:  20201020
09:04:35:  K18_0000_20201020153036.log - [No filter file] - TextAnalysisTool.NET
09:04:40:  Decode
09:04:45:  TCRControlCmdDLL
09:04:55:  K64_BTCR-1100200700510494_20201016133311.log - DRB.tat* - TextAnalysisTool.NET
09:05:20:  收取邮件 - 张开发
09:05:30:  K64_BTCR-1100200700510494_20201016133311.log - DRB.tat* - TextAnalysisTool.NET
