08:01:59:  「开始」菜单
08:35:19:  D:\00-06\1T1-82\Middlewares\Track\Track.c (1T1-82) - Sublime Text (UNREGISTERED)
08:35:24:  Project
08:37:09:  D:\00-06\1T1-82\Middlewares\Track\Track.c (1T1-82) - Sublime Text (UNREGISTERED)
08:37:14:  锁屏状态
08:37:19:  D:\00-06\1T1-82\Middlewares\Track\Track.c (1T1-82) - Sublime Text (UNREGISTERED)
08:37:49:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:38:39:  μVision
08:38:44:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
08:39:39:  KE06LOG.bat - 快捷方式 (2)
08:39:44:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
08:40:04:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202006080839.log
08:40:09:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
08:41:04:  KE06LOG.bat - 快捷方式 (2)
08:41:14:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202006080841.log
08:41:34:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
08:44:39:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202006080841.log
08:45:04:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:44:39:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202006080841.log
08:45:04:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:08:19:  DRB-PRESS
09:08:24:  工作副本
09:08:29:  InstrExecute.c-revBASE.svn001.tmp.c <--> InstrExecute.c - Text Compare - Beyond Compare
09:08:34:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
09:08:39:  PressurePlateCtrl.c-revBASE.svn001.tmp.c <--> PressurePlateCtrl.c - Text Compare - Beyond Compare
09:08:44:  Separate.c-revBASE.svn001.tmp.c <--> Separate.c - Text Compare - Beyond Compare
09:08:49:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
09:09:04:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
09:09:09:  Tools
09:09:14:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:13:29:  桌面整理
09:13:34:  MindMaster
09:13:39:  MindMaster Pro
09:14:49:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:14:49:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:15:34:  本地磁盘 (D:)
09:15:39:  1T1-82
09:15:44:  D:\00-06\1T1-82 - 日志信息 - TortoiseSVN
09:16:04:  1T1-82
09:16:09:  00-06
09:16:14:  1T1-fenchao
09:17:24:  锁屏状态
09:17:29:  跳转列表
09:17:44:  1T1-fenchao
09:17:49:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:18:04:  1T1-fenchao
09:18:14:  D:\00-06\1T1-fenchao - 日志信息 - TortoiseSVN
09:18:19:  1T1-fenchao
09:18:24:  PlateCtrl.c-revBASE.svn001.tmp.c <--> PlateCtrl.c - Text Compare - Beyond Compare
09:18:49:  00-06
09:18:54:  trunk
09:18:59:  D:\00-06\1T1-Stop-Length\trunk - 日志信息 - TortoiseSVN
09:19:04:  TrackCtrl.c-rev3902.svn000.tmp.c <--> TrackCtrl.c-rev3903.svn000.tmp.c - Text Compare - Beyond Compare
09:19:24:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:20:14:  MindMaster Pro
