09:57:05:  荆文波
09:57:40:  eSpace
09:58:25:  荆文波
09:58:30:  eSpace
09:58:40:  荆文波
09:58:45:  eSpace
09:58:50:  颜晓军
09:58:55:  荆文波
09:59:50:  颜晓军
09:58:25:  荆文波
09:58:30:  eSpace
09:58:40:  荆文波
09:58:45:  eSpace
09:58:50:  颜晓军
09:58:55:  荆文波
09:59:50:  颜晓军
10:01:20:  荆文波
10:01:55:  E:\深圳出差\gfgd - 日志信息 - TortoiseSVN
10:02:05:  GateModule.c Revision 851 - TortoiseMerge
10:02:20:  E:\深圳出差\gfgd - 日志信息 - TortoiseSVN
10:03:20:  TD回复格式.docx [兼容模式] - Word
10:05:45:  荆文波
10:24:10:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
10:26:15:  eSpace
10:26:55:  LogExpert - D:\fenxi\6#DRB钞箱执行大额存取款，大额存款20张入上腔，执行普通取款时，软件返回钞箱出钞21张，其中1张倾斜，6张间距过短，出钞口14张，实际出钞口13张。\Decode\LOG\K64_BTCR-1100200700510494_20201228152024\K64-_BTCR-1100200700510494_20201228152024.log
10:27:10:  学习 - 张开发 - 印象笔记
10:27:35:  0-工作 - 张开发 - 印象笔记
10:28:00:  本地磁盘 (D:)
10:28:05:  CRS调测工具（研发版）V1.0.2.1
10:28:05:  CRS调测工具（研发版）V1.0.2.1
10:37:05:  自动播放
10:37:30:  副本中国银行DRB发货测试缺陷列表.xlsx - Excel
10:37:40:  荆文波
10:37:45:  副本中国银行DRB发货测试缺陷列表.xlsx - Excel
10:37:50:  CRS调测工具（研发版）V1.0.2.1
10:37:55:  钞箱配置
10:38:05:  CRS调测工具（研发版）V1.0.2.1
10:39:55:  钞箱配置
10:40:05:  CRS调测工具（研发版）V1.0.2.1
10:41:00:  钞箱配置
10:41:05:  CRS调测工具（研发版）V1.0.2.1
10:41:15:  取款
10:51:31:  CRS调测工具（研发版）V1.0.2.1
10:51:51:  TCRControlCmdDLL
10:51:56:  20210113
10:52:01:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
10:52:06:  LOG
10:52:11:  Box_3__0000_20210113104032.log - DRB.tat* - TextAnalysisTool.NET
10:57:11:  CRS调测工具（研发版）V1.0.2.1
10:57:16:  Dialog
11:08:06:  CRSTestTool
11:12:06:  Windows 任务管理器
11:12:21:  荆文波
11:12:26:  eSpace
11:12:31:  荆文波
11:12:36:  K64_0000_20210113104032
11:12:46:  K64-_0000_20210113104032.log - DRB.tat* - TextAnalysisTool.NET
