08:38:14:  PaperManage.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
08:38:24:  无名文件 - CAXA电子图板2005(企业版)
08:38:29:  \\192.168.28.3\文件共享\组织共享\技术中心项目组共享\02-识别产品线\06- 刘建生\06 固件日报\共享文件\CRS\结构图\CRS传感器距离.exb - CAXA电子图板2005(企业版)
08:39:19:  TCR调测工具 V3.36
08:39:29:  \\192.168.28.3\文件共享\组织共享\技术中心项目组共享\02-识别产品线\06- 刘建生\06 固件日报\共享文件\CRS\结构图\CRS传感器距离.exb - CAXA电子图板2005(企业版)
08:39:49:  锁屏状态
08:39:59:  \\192.168.28.3\文件共享\组织共享\技术中心项目组共享\02-识别产品线\06- 刘建生\06 固件日报\共享文件\CRS\结构图\CRS传感器距离.exb - CAXA电子图板2005(企业版)
08:40:04:  TCR调测工具 V3.36
08:40:09:  锁屏状态
08:40:19:  \\192.168.28.3\文件共享\组织共享\技术中心项目组共享\02-识别产品线\06- 刘建生\06 固件日报\共享文件\CRS\结构图\CRS传感器距离.exb - CAXA电子图板2005(企业版)
08:40:29:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c • (44) - Sublime Text (UNREGISTERED)
08:40:39:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
08:40:49:  \\192.168.28.3\文件共享\组织共享\技术中心项目组共享\02-识别产品线\06- 刘建生\06 固件日报\共享文件\CRS\结构图\CRS传感器距离.exb - CAXA电子图板2005(企业版)
08:40:59:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
08:41:04:  PaperManage.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
08:41:09:  Symbol 'LockInit(enum {...})' redeclared (Arg. no. 1: enum/enum) conflicts with line 42, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Middlewares\Lock\Lock.h - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:41:14:  FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:41:29:  问题 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:41:34:  Type mismatch (arg. no. 1) (enum/enum) - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:42:24:  TCR调测工具 V3.36
08:43:49:  锁屏状态
08:43:54:  00-06
08:43:59:  1T1-82
08:44:09:  Project
08:44:14:  μVision
08:44:19:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
08:44:39:  Tools
08:44:44:  TCR调测工具 V3.36
08:45:04:  打开
08:44:09:  Project
08:44:14:  μVision
08:44:19:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
08:44:39:  Tools
08:44:44:  TCR调测工具 V3.36
08:45:04:  打开
08:45:14:  TCR调测工具 V3.36
08:46:39:  自动播放
08:46:44:  iTunes
08:46:54:  自动播放
08:48:04:  TCR调测工具 V3.36
09:34:45:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
09:34:50:  \\192.168.28.3\文件共享\组织共享\技术中心项目组共享\02-识别产品线\06- 刘建生\06 固件日报\共享文件\CRS\结构图\CRS传感器距离.exb - CAXA电子图板2005(企业版)
09:34:55:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
09:35:25:  E:\深圳出差\44\Applications\FlowControl\TrackClear.c (44) - Sublime Text (UNREGISTERED)
09:35:40:  E:\深圳出差\44\Applications\FlowControl\TrackClear.c • (44) - Sublime Text (UNREGISTERED)
09:36:45:  E:\深圳出差\44\Applications\FlowControl\TrackClear.c (44) - Sublime Text (UNREGISTERED)
09:37:55:  eSpace
09:38:10:  未命名 - 写邮件
09:38:20:  信息
09:38:25:  发送邮件
09:38:30:  E:\深圳出差\44\Applications\FlowControl\TrackClear.c (44) - Sublime Text (UNREGISTERED)
09:40:15:  E:\深圳出差\44\Applications\FlowControl\TrackClear.h (44) - Sublime Text (UNREGISTERED)
09:40:20:  E:\深圳出差\44\Applications\FlowControl\TrackClear.c (44) - Sublime Text (UNREGISTERED)
09:40:45:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
09:41:35:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.h (44) - Sublime Text (UNREGISTERED)
09:41:40:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
09:42:15:  E:\深圳出差\44\Applications\FlowControl\TrackClear.c (44) - Sublime Text (UNREGISTERED)
09:42:20:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
09:42:25:  E:\深圳出差\44\Applications\FlowControl\TrackClear.c (44) - Sublime Text (UNREGISTERED)
09:42:35:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
09:43:05:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.h (44) - Sublime Text (UNREGISTERED)
09:43:25:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
09:43:30:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.h (44) - Sublime Text (UNREGISTERED)
09:43:35:  E:\深圳出差\44\Drivers\SensorDriver\SensorRcv.h (44) - Sublime Text (UNREGISTERED)
09:43:40:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
09:44:05:  于斌1
09:44:35:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
09:44:40:  E:\深圳出差\44\Drivers\SensorDriver\SensorRcv.h (44) - Sublime Text (UNREGISTERED)
09:44:45:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
09:44:50:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.h (44) - Sublime Text (UNREGISTERED)
09:44:55:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
09:45:00:  于斌1
09:44:05:  于斌1
09:44:35:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
09:44:40:  E:\深圳出差\44\Drivers\SensorDriver\SensorRcv.h (44) - Sublime Text (UNREGISTERED)
09:44:45:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
09:44:50:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.h (44) - Sublime Text (UNREGISTERED)
09:44:55:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
09:45:00:  于斌1
09:45:05:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.h (44) - Sublime Text (UNREGISTERED)
09:45:10:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
09:46:30:  D:\CRS\666\Applications\ImpellerCtrl\ImpellerCtrl.c (666) - Sublime Text (UNREGISTERED)
09:46:35:  D:\CRS\666\Applications\PlateCtrl\PlateCtrl.c (666) - Sublime Text (UNREGISTERED)
09:46:55:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
09:47:30:  E:\深圳出差\44\Applications\FlowControl\TrackClear.c (44) - Sublime Text (UNREGISTERED)
09:48:45:  E:\深圳出差\44\Applications\FlowControl\TrackClear.c • (44) - Sublime Text (UNREGISTERED)
09:48:55:  E:\深圳出差\44\Applications\FlowControl\TrackClear.c (44) - Sublime Text (UNREGISTERED)
09:49:00:  E:\深圳出差\44\Applications\FlowControl\TrackClear.h (44) - Sublime Text (UNREGISTERED)
09:49:10:  E:\深圳出差\44\Applications\FlowControl\BV\BvCtrl.c (44) - Sublime Text (UNREGISTERED)
09:49:15:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
09:49:20:  锁屏状态
09:49:25:  00-06
09:49:35:  深圳出差
09:49:45:  Project
09:49:50:  E:\深圳出差\44\Project\k64_rtt.uvprojx - μVision
09:50:45:  于斌1
09:51:00:  Type mismatch (arg. no. 1) (enum/enum) - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:51:10:  FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:51:15:  问题 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:51:25:  Symbol 'LockInit(enum {...})' redeclared (Arg. no. 1: enum/enum) conflicts with line 42, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Middlewares\Lock\Lock.h - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:51:35:  网易有道词典
09:51:40:  Symbol 'LockInit(enum {...})' redeclared (Arg. no. 1: enum/enum) conflicts with line 42, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Middlewares\Lock\Lock.h - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:51:45:  PaperManage.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
09:52:25:  Lock.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
09:52:35:  Symbol 'LockInit(enum {...})' redeclared (Arg. no. 1: enum/enum) conflicts with line 42, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Middlewares\Lock\Lock.h - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:52:45:  Lock.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
09:52:50:  Lock.h - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
09:53:05:  Lock.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
09:53:10:  Symbol 'LockInit(enum {...})' redeclared (Arg. no. 1: enum/enum) conflicts with line 42, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Middlewares\Lock\Lock.h - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:53:15:  网易有道词典
09:53:20:  Symbol 'LockInit(enum {...})' redeclared (Arg. no. 1: enum/enum) conflicts with line 42, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Middlewares\Lock\Lock.h - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:53:30:  Lock.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
09:53:40:  Lock.h - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
09:53:45:  Symbol 'LockInit(enum {...})' redeclared (Arg. no. 1: enum/enum) conflicts with line 42, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Middlewares\Lock\Lock.h - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:54:00:  Symbol 'LockOpen(enum {...})' redeclared (Arg. no. 1: enum/enum) conflicts with line 43, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Middlewares\Lock\Lock.h - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:54:15:  iTunes
09:54:20:  Symbol 'LockOpen(enum {...})' redeclared (Arg. no. 1: enum/enum) conflicts with line 43, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Middlewares\Lock\Lock.h - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:54:45:  Arg. no. 1: enum/enum_百度搜索 - Google Chrome
09:55:00:  Symbol 'LockOpen(enum {...})' redeclared (Arg. no. 1: enum/enum) conflicts with line 43, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Middlewares\Lock\Lock.h - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:55:11:  Symbol 'LockOpen(enum {...})' redeclared (Arg. no. 1: enum/enum)_百度搜索 - Google Chrome
09:55:26:  Symbol 'LockOpen(enum {...})' redeclared (Arg. no. 1: enum/enum) conflicts with line 43, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Middlewares\Lock\Lock.h - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:55:31:  新建文本文档.exe - 快捷方式
09:55:36:  Symbol 'LockOpen(enum {...})' redeclared (Arg. no. 1: enum/enum) conflicts with line 43, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Middlewares\Lock\Lock.h - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:55:56:  网易有道词典
09:56:06:  Symbol 'LockOpen(enum {...})' redeclared (Arg. no. 1: enum/enum) conflicts with line 43, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Middlewares\Lock\Lock.h - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:58:02:  Lock.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
09:58:07:  Lock.h - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
09:58:12:  Lock.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
09:58:17:  eSpace
09:58:22:  0-工作 - 张开发 - 印象笔记
09:58:27:  Symbol 'LockOpen(enum {...})' redeclared (Arg. no. 1: enum/enum) conflicts with line 43, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Middlewares\Lock\Lock.h - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:58:32:  Project
09:58:37:  桌面
09:58:42:  关于申报“2020年万名大学生聚集计划生活津贴”和“博士硕士住房补助”的说明.docx - Word
09:59:03:  新建文件夹 (2)
09:59:08:  本地磁盘 (D:)
09:59:13:  爆仓问题(1)
09:59:18:  程
09:59:23:  zhangkaifa.rar - WinRAR (非商业个人版)
09:59:28:  程
09:59:33:  张开发 劳务合同 1.jpg - Windows 照片查看器
09:59:38:  张开发 劳务合同 2.jpg - Windows 照片查看器
09:59:43:  张开发 劳务合同 5.jpg - Windows 照片查看器
09:59:58:  张开发 劳务合同 3.jpg - Windows 照片查看器
10:00:03:  张开发 劳务合同 5.jpg - Windows 照片查看器
09:58:07:  Lock.h - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
09:58:12:  Lock.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
09:58:17:  eSpace
09:58:22:  0-工作 - 张开发 - 印象笔记
09:58:27:  Symbol 'LockOpen(enum {...})' redeclared (Arg. no. 1: enum/enum) conflicts with line 43, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Middlewares\Lock\Lock.h - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:58:32:  Project
09:58:37:  桌面
09:58:42:  关于申报“2020年万名大学生聚集计划生活津贴”和“博士硕士住房补助”的说明.docx - Word
09:59:03:  新建文件夹 (2)
09:59:08:  本地磁盘 (D:)
09:59:13:  爆仓问题(1)
09:59:18:  程
09:59:23:  zhangkaifa.rar - WinRAR (非商业个人版)
09:59:28:  程
09:59:33:  张开发 劳务合同 1.jpg - Windows 照片查看器
09:59:38:  张开发 劳务合同 2.jpg - Windows 照片查看器
09:59:43:  张开发 劳务合同 5.jpg - Windows 照片查看器
09:59:58:  张开发 劳务合同 3.jpg - Windows 照片查看器
10:00:03:  张开发 劳务合同 5.jpg - Windows 照片查看器
10:00:18:  张开发 劳务合同 1.jpg - Windows 照片查看器
10:00:23:  张开发 劳务合同 2.jpg - Windows 照片查看器
10:00:28:  zhangkaifa
10:00:38:  张开发 劳务合同 5.jpg - Windows 照片查看器
10:00:43:  程
10:00:53:  关于申报“2020年万名大学生聚集计划生活津贴”和“博士硕士住房补助”的说明.docx - Word
10:00:58:  程
