07:57:56:  DRB测试缺陷-3.17.xlsx  [只读] - Excel
08:04:16:  Microsoft Windows
09:22:34:  Box_1__BTCR-1100200400210043_20210320090647.log - DRB2.tat - TextAnalysisTool.NET
09:22:39:  20210320
09:22:44:  本地磁盘 (F:)
09:23:39:  「开始」菜单
09:23:49:  本地磁盘 (F:)
09:23:59:  PostWork
09:24:14:  PostWork-Debug
09:24:19:  dist
09:24:24:  PostWork
09:24:29:  文件共享
09:24:44:  Box_1__BTCR-1100200400210043_20210320090647.log - DRB2.tat - TextAnalysisTool.NET
09:25:44:  于斌1
09:25:59:  Box_1__BTCR-1100200400210043_20210320090647.log - DRB2.tat - TextAnalysisTool.NET
09:26:09:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:27:09:  新标签页 - Google Chrome
09:27:14:  班车管理系统 - Google Chrome
09:27:19:  班车管理系统 [新北洋集团] - Google Chrome
09:27:29:  库
09:27:34:  BTCRTestTool 属性
09:27:39:  20210320
09:27:44:  K64_BTCR-1100200400210043_20210320090647
09:27:49:  Box_1__BTCR-1100200400210043_20210320090647.log - DRB2.tat - TextAnalysisTool.NET
09:28:44:  运行
09:28:59:  本地磁盘 (D:)
09:29:04:  本地磁盘 (F:)
09:29:19:  锁屏状态
09:29:24:  本地磁盘 (F:)
09:28:44:  运行
09:28:59:  本地磁盘 (D:)
09:29:04:  本地磁盘 (F:)
09:29:19:  锁屏状态
09:29:24:  本地磁盘 (F:)
09:30:09:  新标签页 - Google Chrome
09:30:14:  班车管理系统 - Google Chrome
09:30:19:  班车管理系统 [新北洋集团] - Google Chrome
09:31:24:  本地磁盘 (F:)
09:31:29:  PostWork
09:31:39:  PostWork.py - F:\PostWork\PostWork.py (3.7.3)
09:32:09:  K64_BTCR-1100200400210043_20210320090647
09:32:14:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:35:29:  Add Files to Group 'Middlewares'
09:35:44:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:35:59:  C:\Keil_v5\ARM\ARMCC\Bin\fromelf.exe
09:36:04:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:36:09:  00-06
09:36:14:  Initial.c - TortoiseMerge
09:36:24:  InstrExecute.c - TortoiseMerge
09:36:34:  Box_1__BTCR-1100200400210043_20210320090647.log - DRB2.tat - TextAnalysisTool.NET
09:37:34:  D:\00-06\DRB - 工作副本 - TortoiseSVN
09:37:39:  LogHandle.c - TortoiseMerge
09:37:49:  LowerPlateCtrl.c - TortoiseMerge
09:37:59:  TortoiseMerge
09:38:04:  State.c - TortoiseMerge
09:38:54:  Track.c - TortoiseMerge
09:39:09:  TortoiseMerge
09:39:14:  SpiFlashDriver.c - TortoiseMerge
09:39:19:  D:\00-06\DRB - 工作副本 - TortoiseSVN
09:39:24:  DebugConfig.h - TortoiseMerge
09:39:29:  D:\00-06\DRB - 工作副本 - TortoiseSVN
09:39:34:  Log.c - TortoiseMerge
09:39:44:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
09:39:54:  untitled (DRB) - Sublime Text (UNREGISTERED)
09:39:59:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
09:40:04:  D:\00-06\DRB\Middlewares\Log\Log.c • (DRB) - Sublime Text (UNREGISTERED)
09:40:49:  μVision
09:40:54:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:46:39:  TortoiseMerge
09:46:44:  Log.c - TortoiseMerge
09:46:49:  锁屏状态
09:46:54:  D:\00-06\DRB\Middlewares\Log\Log.c • (DRB) - Sublime Text (UNREGISTERED)
09:46:59:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
09:47:09:  D:\00-06\DRB\Middlewares\Selector\Selector.c (DRB) - Sublime Text (UNREGISTERED)
09:47:14:  D:\00-06\DRB\FwLib\Config\DebugConfig.h (DRB) - Sublime Text (UNREGISTERED)
09:47:29:  D:\00-06\DRB - 工作副本 - TortoiseSVN
09:47:34:  DebugConfig.h - TortoiseMerge
09:47:39:  D:\00-06\DRB\FwLib\Config\DebugConfig.h • (DRB) - Sublime Text (UNREGISTERED)
09:47:44:  TortoiseMerge
09:47:59:  D:\00-06\DRB - 工作副本 - TortoiseSVN
09:48:04:  D:\00-06\DRB\SystemConfig.h (DRB) - Sublime Text (UNREGISTERED)
09:48:09:  D:\00-06\DRB\SystemConfig.h • (DRB) - Sublime Text (UNREGISTERED)
09:48:14:  D:\00-06\DRB - 工作副本 - TortoiseSVN
09:48:29:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:49:10:  DRB
09:49:15:  Initial.c - TortoiseMerge
09:49:20:  文件补丁  
09:49:25:  D:\00-06\DRB - 工作副本 - TortoiseSVN
09:49:30:  LogHandle.c - TortoiseMerge
09:49:45:  State.c - TortoiseMerge
09:50:05:  D:\00-06\DRB - 工作副本 - TortoiseSVN
09:50:10:  Track.c - TortoiseMerge
09:50:15:  DRB
09:50:20:  D:\00-06\DRB - 日志信息 - TortoiseSVN
09:50:25:  D:\00-06\DRB - 提交 - TortoiseSVN
09:50:35:  Middlewares
09:50:40:  FwLib
09:50:45:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle - 加入 - TortoiseSVN
09:50:50:  DRB
09:50:55:  D:\00-06\DRB - 提交 - TortoiseSVN
09:51:00:  TortoiseMerge
09:51:05:  CashBox_1T2.uvoptx - TortoiseMerge
09:51:15:  D:\00-06\DRB - 提交 - TortoiseSVN
09:51:30:  Update.c - TortoiseMerge
09:51:35:  D:\00-06\DRB - 提交 - TortoiseSVN
09:51:40:  InstrExecute.c - TortoiseMerge
09:51:45:  D:\00-06\DRB - 提交 - TortoiseSVN
09:52:15:  Track.c - TortoiseMerge
09:52:30:  D:\00-06\DRB - 提交 - TortoiseSVN
09:53:10:  D:\00-06\DRB - 日志信息 - TortoiseSVN
09:53:15:  D:\00-06\DRB - 提交 - TortoiseSVN
09:53:20:  提交
09:53:25:  μVision
09:53:30:  本地磁盘 (D:)
09:53:35:  DRB
09:53:45:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
09:54:10:  历史记录
09:54:15:  输入日志信息
09:54:35:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
09:54:55:  输入日志信息
09:55:05:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
09:55:15:  历史记录
09:55:20:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
09:55:25:  输入日志信息
09:55:40:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
09:55:45:  DRB
09:55:50:  D:\00-06\DRB - 日志信息 - TortoiseSVN
09:56:05:  DRB
09:56:10:  Windows 安全
09:56:20:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
09:56:25:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_K06_MAIN/branches - 日志信息 - TortoiseSVN
09:56:45:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
09:56:50:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_.../BR-2-CashBox1T2-Press - 日志信息 - TortoiseSVN
09:56:55:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
09:57:00:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_.../BR-2-CashBox1T2-Press - 日志信息 - TortoiseSVN
09:57:10:  要离线?
09:57:15:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_.../BR-2-CashBox1T2-Press - 日志信息 - TortoiseSVN
09:57:20:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_K06_MAIN/branches - 日志信息 - TortoiseSVN
09:57:35:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
09:57:50:  版本分支图
09:57:55:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
09:58:05:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_.../BR-2-CashBox1T2-Press - 日志信息 - TortoiseSVN
09:58:10:  WinRAR
09:58:15:  subproject0.txt - 记事本
09:58:25:  KeilCompileInfo(3).zip - WinRAR (非商业个人版)
09:58:30:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_K06_MAIN - 日志信息 - TortoiseSVN
09:58:45:  DRB
09:58:55:  D:\00-06\DRB - 日志信息 - TortoiseSVN
09:59:05:  D:\00-06\DRB - 提交 - TortoiseSVN
09:59:15:  subproject1.txt - 记事本
09:59:25:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:59:35:  Folder Setup
09:59:40:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:59:45:  Project
09:59:50:  D:\00-06\DRB\Project - 日志信息 - TortoiseSVN
09:59:55:  Project
10:00:00:  DRB
09:58:05:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_.../BR-2-CashBox1T2-Press - 日志信息 - TortoiseSVN
09:58:10:  WinRAR
09:58:15:  subproject0.txt - 记事本
09:58:25:  KeilCompileInfo(3).zip - WinRAR (非商业个人版)
09:58:30:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_K06_MAIN - 日志信息 - TortoiseSVN
09:58:45:  DRB
09:58:55:  D:\00-06\DRB - 日志信息 - TortoiseSVN
09:59:05:  D:\00-06\DRB - 提交 - TortoiseSVN
09:59:15:  subproject1.txt - 记事本
09:59:25:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:59:35:  Folder Setup
09:59:40:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:59:45:  Project
09:59:50:  D:\00-06\DRB\Project - 日志信息 - TortoiseSVN
09:59:55:  Project
10:00:00:  DRB
10:00:05:  D:\00-06\DRB - 日志信息 - TortoiseSVN
10:00:15:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:00:25:  DRB
10:00:30:  历史记录
10:00:35:  D:\00-06\DRB - 提交 - TortoiseSVN
10:01:00:  提交 失败！
10:01:05:  D:\00-06\DRB - 提交 - TortoiseSVN
10:01:10:  DRB
10:01:15:  D:\00-06\DRB - 切换至分支/标记 - TortoiseSVN
10:01:20:  Windows 安全
10:01:25:   - 版本库浏览器 - TortoiseSVN
10:01:30:  D:\00-06\DRB - 切换至分支/标记 - TortoiseSVN
10:01:35:  D:\00-06\DRB - 切换 - TortoiseSVN
10:01:45:  切换 完成！
10:01:50:  D:\00-06\DRB - 日志信息 - TortoiseSVN
10:01:55:  00-06
10:02:00:  D:\00-06\DRB - 日志信息 - TortoiseSVN
10:02:05:  D:\00-06\DRB - 提交 - TortoiseSVN
10:02:20:  DRB
10:02:25:  D:\00-06\DRB - 日志信息 - TortoiseSVN
10:02:30:  DRB
10:02:40:  合并
10:02:45:  Windows 安全
10:02:50:   - 版本库浏览器 - TortoiseSVN
10:03:10:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_.../BR-2-CashBox1T2-Press - 日志信息 - TortoiseSVN
10:03:15:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_K06.../BR-4-CashBox1T1_GD - 日志信息 - TortoiseSVN
10:03:20:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_K06_MAIN/branches - 日志信息 - TortoiseSVN
10:03:40:   - 版本库浏览器 - TortoiseSVN
10:04:05:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_.../BR-2-CashBox1T2-Press - 日志信息 - TortoiseSVN
10:04:20:   - 版本库浏览器 - TortoiseSVN
10:05:20:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_.../BR-2-CashBox1T2-Press - 日志信息 - TortoiseSVN
10:05:45:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_K0.../BR-2-CashBox1T2-Press - 统计 - TortoiseSVN
10:05:50:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_.../BR-2-CashBox1T2-Press - 日志信息 - TortoiseSVN
10:06:05:  WinRAR
10:06:10:  subproject0.txt - 记事本
10:06:20:   - 版本库浏览器 - TortoiseSVN
10:06:25:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:06:45:  Options for Target 'CashBox_1T2'
10:06:50:  Folder Setup
10:06:55:  subproject0.txt - 记事本
10:07:10:  Folder Setup
10:07:15:  D:\00-06\DRB - 提交 - TortoiseSVN
10:07:25:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:07:30:  Options for Target 'CashBox_1T2'
10:07:35:  浏览文件夹
10:07:45:  Folder Setup
10:07:50:  浏览文件夹
10:08:00:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:08:05:  D:\00-06\DRB - 提交 - TortoiseSVN
10:08:10:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - 提交 - TortoiseSVN
10:08:15:  svnn
10:08:25:  D:\00-06\svnn - 日志信息 - TortoiseSVN
10:08:30:  回收
10:08:35:  BR-2-CashBox1T2-Press - 检出 - TortoiseSVN
10:08:40:  DRB-1.3
10:08:45:  Windows 安全
10:08:50:  D:\00-06\DRB-1.3 - 版本库浏览器 - TortoiseSVN
10:09:20:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_K0.../BR-2-CashBox1T2-Press - 属性 - TortoiseSVN
10:09:25:  D:\00-06\DRB-1.3 - 版本库浏览器 - TortoiseSVN
10:09:30:  DRB-1.3
10:09:35:  D:\00-06\DRB-1.3 - 日志信息 - TortoiseSVN
10:09:50:  BR-1-CashBox1T2-Press.txt - 记事本
10:10:00:  班车管理系统 [新北洋集团] - Google Chrome
10:10:05:  新标签页 - Google Chrome
10:10:10:  SonarQube - Google Chrome
10:10:15:  问题 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
10:10:20:  项目 - Google Chrome
10:11:15:  D:\00-06\DRB - 日志信息 - TortoiseSVN
10:11:20:  DRB
10:11:35:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
10:11:45:  历史记录
