08:36:46:  SEGGER J-Flash V6.32h - [D:\00-06\DRB--\Tools\J-Link\MKE06.jflash *]
08:36:51:  于斌1
08:36:56:  trunk
08:37:01:  D:\00-06\1T1-Stop-Length\trunk - 日志信息 - TortoiseSVN
08:37:11:  00-06
08:37:21:   - 版本库浏览器 - TortoiseSVN
08:37:36:  锁屏状态
08:37:41:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_K06_MAIN/trunk - 日志信息 - TortoiseSVN
08:37:46:  trunk - 检出 - TortoiseSVN
08:37:56:  检出 完成！
08:38:51:  SECSplashWnd
08:38:56:  D:\00-06\svnn\Project\CashBox.uvprojx - μVision
08:39:42:  SEGGER J-Flash V6.32h - [D:\00-06\DRB--\Tools\J-Link\MKE06.jflash *]
08:40:12:  D:\00-06\svnn\Project\CashBox.uvprojx - μVision
08:40:47:  锁屏状态
08:40:52:  Project
08:40:57:  SEGGER J-Flash V6.32h - [D:\00-06\DRB--\Tools\J-Link\MKE06.jflash]
08:41:12:  Save data file as
08:41:22:  J-Flash V6.32h
08:41:27:  开始
08:41:32:  未命名 - 写邮件
08:41:37:  T88 - 写邮件
08:41:42:  桌面整理
09:03:22:  新建文本文档.exe - 快捷方式
09:03:27:  桌面整理
09:03:52:  于斌1
09:03:57:  eSpace
09:04:02:  程明昌
09:04:07:  桌面整理
09:04:12:  CRS调测工具（研发版）V1.0.2.1
09:04:57:  打开
09:05:07:  本地磁盘 (E:)
09:05:12:  666
09:05:22:  D:\CRS\666 - 日志信息 - TortoiseSVN
09:05:32:  666
09:05:42:  打开
09:05:47:  CRS调测工具（研发版）V1.0.2.1
09:05:57:  打开
09:06:02:  CRS调测工具（研发版）V1.0.2.1
09:06:12:  戚晓东
09:07:12:  CRS调测工具（研发版）V1.0.2.1
09:07:17:  eSpace
09:07:22:  通道电机测试
09:07:27:  CRS调测工具（研发版）V1.0.2.1
09:07:57:  戚晓东
09:08:02:  新标签页 - Google Chrome
09:08:07:  D:\CRS\666\Middlewares\Component\Component.c (666) - Sublime Text (UNREGISTERED)
09:08:12:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
09:09:57:  D:\CRS\666\Middlewares\StepMotor\StepMotor.c (666) - Sublime Text (UNREGISTERED)
09:10:42:  666
09:10:47:  00-06
09:11:12:  1T1-Stop-Length
09:11:17:  00-06
09:11:22:  trunk
09:11:27:  D:\00-06\1T1-Stop-Length\trunk - 日志信息 - TortoiseSVN
09:11:37:  StepMotorDriver.c Revision 4164 - TortoiseMerge
09:11:42:  D:\00-06\1T1-Stop-Length\trunk - 日志信息 - TortoiseSVN
09:11:47:  Plate.c Revision 4164 - TortoiseMerge
09:11:57:  StepMotor.c Revision 4164 - TortoiseMerge
09:12:12:  trunk
09:12:17:  Middlewares
09:12:22:  D:\00-06\1T1-Stop-Length\trunk\Middlewares\StepMotor - 工作副本 - TortoiseSVN
09:12:27:  StepMotor
09:12:32:  D:\00-06\1T1-Stop-Length\trunk\Middlewares\StepMotor - 日志信息 - TortoiseSVN
09:12:37:  StepMotor.c Revision 4155 - TortoiseMerge
09:12:42:  1T1-Stop-Length
09:12:47:  DRB--
09:12:52:  D:\00-06\DRB--\Middlewares\StepMotor - 日志信息 - TortoiseSVN
09:13:17:  DRB--
09:13:27:  D:\00-06\DRB-- - 日志信息 - TortoiseSVN
09:13:32:  00-06
09:13:37:  svnn
09:13:42:  检出
09:13:47:   - 版本库浏览器 - TortoiseSVN
09:13:57:  BR-1-CashBox1T2 - 检出 - TortoiseSVN
09:14:07:  svnn
09:14:12:  StepMotor
