08:50:26:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
08:52:41:  Box_3__BTCR-1100200600510423_20210323154420.log - DRB2.tat* - TextAnalysisTool.NET
08:52:46:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
08:52:56:  Box_3__BTCR-1100200600510423_20210323154420.log - DRB2.tat* - TextAnalysisTool.NET
08:53:11:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
08:53:16:  Box_3__BTCR-1100200600510423_20210323154420.log - DRB2.tat* - TextAnalysisTool.NET
08:53:21:  K64-_BTCR-1100200600510423_20210323154420.log - DRB2.tat* - TextAnalysisTool.NET
08:53:31:  K64_BTCR-1100200600510423_20210323154228
08:53:36:  K64-_BTCR-1100200600510423_20210323154228.log - DRB2.tat* - TextAnalysisTool.NET
08:53:41:  K64_BTCR-1100200600510423_20210323154228
08:53:46:  K64-_BTCR-1100200600510423_20210323154112.log - DRB2.tat* - TextAnalysisTool.NET
08:53:51:  K64_BTCR-1100200600510423_20210323154112
08:53:56:  LOG
08:54:01:  K64-_BTCR-1100200600510423_20210323154228.log - DRB2.tat* - TextAnalysisTool.NET
08:54:11:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
08:54:41:  D:\00-KE64\10\Applications\FlowControl\Plate\PlateModuleIF.h (10) - Sublime Text (UNREGISTERED)
08:54:46:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
08:57:21:  K64-_BTCR-1100200600510423_20210323154228.log - DRB2.tat* - TextAnalysisTool.NET
08:57:31:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
08:57:41:  K64-_BTCR-1100200600510423_20210323154228.log - DRB2.tat* - TextAnalysisTool.NET
08:57:56:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
08:59:01:  整改后缺陷日志
08:59:06:  ID-1、20元下腔存款打开钞箱后初始化报钞箱口  返回码0X085E1900，打开钞箱拿出小部分纸币点击初始化报通道传输过程中卡钞 钞票残留  返回码0X834604B8
08:59:11:  LOG
08:59:16:  Box_3__BTCR-1100200600510423_20210323154420.log - DRB2.tat* - TextAnalysisTool.NET
08:59:41:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
08:59:51:  Box_3__BTCR-1100200600510423_20210323154420.log - DRB2.tat* - TextAnalysisTool.NET
08:59:01:  整改后缺陷日志
08:59:06:  ID-1、20元下腔存款打开钞箱后初始化报钞箱口  返回码0X085E1900，打开钞箱拿出小部分纸币点击初始化报通道传输过程中卡钞 钞票残留  返回码0X834604B8
08:59:11:  LOG
08:59:16:  Box_3__BTCR-1100200600510423_20210323154420.log - DRB2.tat* - TextAnalysisTool.NET
08:59:41:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
08:59:51:  Box_3__BTCR-1100200600510423_20210323154420.log - DRB2.tat* - TextAnalysisTool.NET
09:00:06:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
09:03:06:  Box_3__BTCR-1100200600510423_20210323154420.log - DRB2.tat* - TextAnalysisTool.NET
09:03:41:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
