09:23:13:  姚世龙
09:23:18:  μVision
09:23:23:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
09:23:48:  自动播放
09:23:58:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
09:24:53:  姚世龙
09:26:58:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
09:27:08:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c (meger) - Sublime Text (UNREGISTERED)
09:27:13:  D:\00-06\meger\Drivers\PeripheralDriver\GpioDriver\GpioDriver.h (meger) - Sublime Text (UNREGISTERED)
09:27:23:  姚世龙
09:28:53:  MKE06P80M48SF0RM(中文).pdf - Adobe Reader
09:28:53:  MKE06P80M48SF0RM(中文).pdf - Adobe Reader
09:31:13:  姚世龙
09:31:18:  MKE06P80M48SF0RM(中文).pdf - Adobe Reader
09:31:23:  姚世龙
09:31:33:  MKE06P80M48SF0RM(中文).pdf - Adobe Reader
09:31:38:  姚世龙
09:31:43:  MKE06P80M48SF0RM(中文).pdf - Adobe Reader
09:31:48:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
09:34:28:  D:\00-06\meger\Drivers\PeripheralDriver\GpioDriver\GpioDriver.h (meger) - Sublime Text (UNREGISTERED)
09:34:43:  D:\00-06\meger\Drivers\StepMotorDriver\StepMotorDriver.c (meger) - Sublime Text (UNREGISTERED)
09:34:48:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
09:35:13:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c • (meger) - Sublime Text (UNREGISTERED)
09:35:18:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
09:35:28:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
09:35:33:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
09:36:08:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102010936.log
09:36:18:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
09:36:33:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102010936.log
09:36:53:  姚世龙
09:37:08:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:37:13:  MKE06P80M48SF0RM(中文).pdf - Adobe Reader
09:37:33:  姚世龙
09:39:13:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
09:39:23:  姚世龙
09:39:28:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
09:39:33:  姚世龙
09:39:38:  D:\00-06\meger\Drivers\PeripheralDriver\GpioDriver\GpioDriver.c (meger) - Sublime Text (UNREGISTERED)
09:39:43:  D:\00-06\meger\Drivers\PeripheralDriver\GpioDriver\GpioDriver.h (meger) - Sublime Text (UNREGISTERED)
09:39:48:  MKE06P80M48SF0RM(中文).pdf - Adobe Reader
09:39:53:  姚世龙
09:40:58:  KE06LOG.bat - 快捷方式 (2)
09:41:03:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
09:41:43:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102010936.log
