08:48:07:  本地磁盘 (D:)
08:48:17:  00-KE64
08:48:32:  深圳出差
08:48:37:  44
08:49:27:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
08:53:17:  CRS
08:53:22:  D:\CRS\666\Tools\CreateJK.exe
08:53:27:  CRS调测工具（研发版）V1.0.2.1
08:53:37:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
08:53:57:  发送指令到K18
08:54:07:  CRS调测工具（研发版）V1.0.2.1
08:57:02:  锁屏状态
08:57:07:  20201202
08:57:12:  CS_0000_20201202110121.log - [No filter file]* - TextAnalysisTool.NET
08:58:12:  20201202
08:58:17:  CS_0000_20201202110121.log - [No filter file]* - TextAnalysisTool.NET
08:58:27:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
08:58:52:  于斌1
08:59:17:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
08:59:43:  Tools
08:59:48:  打开
08:59:53:  CRS调测工具（研发版）V1.0.2.1
08:58:12:  20201202
08:58:17:  CS_0000_20201202110121.log - [No filter file]* - TextAnalysisTool.NET
08:58:27:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
08:58:52:  于斌1
08:59:17:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
08:59:43:  Tools
08:59:48:  打开
08:59:53:  CRS调测工具（研发版）V1.0.2.1
09:00:13:  发送指令到K18
09:00:18:  CRS调测工具（研发版）V1.0.2.1
09:04:08:  Decode
09:04:13:  CS_0000_20201202110121.log - [No filter file]* - TextAnalysisTool.NET
09:04:58:  Decode
09:05:08:  CS_0000_20201202110121.log - [No filter file]* - TextAnalysisTool.NET
09:05:23:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:07:28:  计算器
09:07:43:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:10:18:  计算器
09:11:18:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:12:58:  于斌1
09:13:03:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:13:58:  Toolbox
09:14:03:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:15:08:  计算器
09:15:13:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:16:23:  Toolbox
09:16:28:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:25:18:  计算器
09:25:33:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:27:43:  C:\Program Files\TortoiseSVN\bin\SubWCRev.exe
09:27:48:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:28:08:  Watch 1
09:28:18:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:28:28:  Toolbox
09:28:33:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:28:38:  Watch 1
09:28:43:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:29:08:  Watch 1
09:29:13:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:28:08:  Watch 1
09:28:18:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:28:28:  Toolbox
09:28:33:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:28:38:  Watch 1
09:28:43:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:29:08:  Watch 1
09:29:13:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:30:23:  Watch 1
09:30:33:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:30:58:  Watch 1
09:31:08:  计算器
09:31:13:  Watch 1
09:31:18:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:31:38:  Watch 1
09:31:43:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:32:43:  Watch 1
09:32:48:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:33:08:  Watch 1
09:33:13:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:33:48:  Watch 1
09:33:53:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:34:28:  Watch 1
09:34:58:  Information
09:35:03:  CS_0000_20201202110121.log - [No filter file]* - TextAnalysisTool.NET
09:35:08:  CommonManageTool
09:36:03:  查看知识共享
09:36:08:  CommonManageTool
09:36:48:  查看知识共享
09:36:53:  CommonManageTool
09:36:58:  Program Manager
09:37:03:  J-Link Commander V6.32h
09:37:13:  SEGGER J-Link V6.32h - Target device settings
09:37:18:  J-Link Commander V6.32h
09:37:23:  SEGGER J-Link V6.32h - Target device settings
09:37:43:  J-Link Commander V6.32h
09:37:53:  Watch 1
09:37:58:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:38:18:  J-Link Commander V6.32h
09:38:33:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:38:38:  J-Link Commander V6.32h
09:38:53:  计算器
09:38:58:  Watch 1
09:39:08:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:40:18:  J-Link Commander V6.32h
09:40:33:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:40:38:  J-Link Commander V6.32h
09:40:58:  锁屏状态
09:41:03:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:43:28:  SEGGER J-Link V6.10b - Control panel
09:43:33:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:43:48:  Decode
09:43:53:  CS_0000_20201202110121.log - [No filter file]* - TextAnalysisTool.NET
09:43:58:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:44:08:  Decode
09:44:13:  CS_0000_20201202110121.log - [No filter file]* - TextAnalysisTool.NET
09:44:18:  删除多个项目
09:44:23:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:44:38:  TCRControlCmdDLL
09:44:43:  20201202
09:44:58:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:44:08:  Decode
09:44:13:  CS_0000_20201202110121.log - [No filter file]* - TextAnalysisTool.NET
09:44:18:  删除多个项目
09:44:23:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:44:38:  TCRControlCmdDLL
09:44:43:  20201202
09:44:58:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:45:08:  C:\Program Files\TortoiseSVN\bin\SubWCRev.exe
09:45:13:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:45:48:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202012030945.log
09:46:13:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:46:58:  LogExpert
09:47:03:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:47:13:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202012030947.log
09:47:23:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:47:43:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202012030947.log
09:47:48:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:48:08:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202012030947.log
09:48:13:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:49:18:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202012030949.log
09:49:23:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:50:58:  Toolbox
09:51:03:  KE18LOG.bat - 快捷方式
09:51:08:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202012030951.log
09:51:23:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:52:13:  KE18LOG.bat - 快捷方式
