08:59:39:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:59:59:  锁屏状态
09:00:04:  库
08:58:14:  eSpace
08:58:24:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:58:49:  桌面整理
08:59:04:  20180613 TCR内部指令手册_V001.xlsx - Excel
08:59:09:  eSpace
08:59:14:  于斌1
08:59:34:  20180613 TCR内部指令手册_V001.xlsx - Excel
08:59:39:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:59:59:  锁屏状态
09:00:04:  库
09:00:09:  06- 刘建生
09:00:19:  Excel
09:00:29:  TCR（DRB）项目周报.xlsx  [共享] - Excel
09:02:34:  Watch 1
09:02:39:  于斌1
09:02:49:  RTT_SeggerLog_202007270902.log - DRB.tat* - TextAnalysisTool.NET
09:02:54:  新建 Microsoft Excel 工作表.xlsx - Excel
09:03:04:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:03:14:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:03:44:  Toolbox
09:03:49:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:04:34:  RTT_SeggerLog_202007241732.log 属性
09:04:39:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:05:39:  本地磁盘 (D:)
09:05:44:  00-06
09:05:49:  本地磁盘 (D:)
09:05:59:  DRB-PRESS
09:06:04:  工作副本
09:06:09:  MemoryConfig.h - TortoiseMerge
09:06:14:  PaperManage.c - TortoiseMerge
09:06:59:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
09:07:04:  MotorCtrl.c - TortoiseMerge
09:07:09:  TortoiseMerge
09:07:14:  MotorCtrl.c - TortoiseMerge
09:07:29:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
09:07:34:  桌面整理
09:07:39:  Windows 任务管理器
09:08:14:  桌面整理
09:09:39:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:09:44:  运行
09:09:49:  问题日志
09:09:54:  Excel
09:09:59:  DRB钞箱工程样机系统测试问题列表.xlsx  [受保护的视图] - Excel
09:10:04:  DRB钞箱工程样机系统测试问题列表.xlsx - Excel
09:13:49:  新建 Microsoft Excel 工作表.xlsx - Excel
09:13:54:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:14:34:  本地磁盘 (D:)
09:14:54:  00-06
09:14:59:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
09:14:34:  本地磁盘 (D:)
09:14:54:  00-06
