08:09:49:  各位看看各自的考核比是否需要调整，如有问题请今天上午反馈
08:28:44:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
08:28:54:  Decode
08:29:19:  本地磁盘 (D:)
08:29:24:  D:\00-KE64\CRS-64\Tools\CreateJK.exe
08:29:29:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:32:04:  V1.009
08:32:09:  打开
08:32:14:  TCR调测工具（研发版）V1.0.0.4
08:32:49:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:32:54:  D:\00-KE64\CRS-64\Tools\CreateJK.exe
08:32:59:  跳转列表
08:33:09:  2020-09-09.txt - 记事本
08:33:14:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:33:24:  20200915
08:33:29:  回收
08:33:34:  TCR调测工具（研发版）V1.0.0.4
08:33:39:  Visual Studio Code
08:33:44:  TCR调测工具（研发版）V1.0.0.4
08:33:49:  打开
08:33:54:  TCR调测工具（研发版）V1.0.0.4
08:34:04:  BTCRTestTool
08:34:09:  20200915
08:34:14:  Decode
08:34:19:  K18_0000_20200915083204.log - [No filter file] - TextAnalysisTool.NET
08:34:24:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:34:39:  K18_0000_20200915083204.log - [No filter file] - TextAnalysisTool.NET
08:35:14:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExe.c (KE18-ESS) - Sublime Text (UNREGISTERED)
08:35:19:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:35:54:  K18_0000_20200915083204.log - [No filter file] - TextAnalysisTool.NET
08:35:59:  CRS样机踢钞轮相位不一致
08:36:14:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:36:24:  TCR调测工具（研发版）V1.0.0.4
08:36:34:  锁屏状态
08:36:39:  打开
08:36:44:  TCR调测工具（研发版）V1.0.0.4
08:36:54:  20200915
08:36:59:  TCR调测工具（研发版）V1.0.0.4
08:37:14:  删除多个项目
08:37:19:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:37:34:  20200915
08:37:39:  TCR调测工具（研发版）V1.0.0.4
