09:10:52:  K64-_BTCR-1100190802300005_20200714090443.log - DRB.tat* - TextAnalysisTool.NET
09:10:57:  Decode
09:11:12:  于斌1
09:15:37:  PressurePlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:15:42:  ● settings.json - DRB-PRESS - Visual Studio Code [管理员]
09:25:37:  settings.json - DRB-PRESS - Visual Studio Code [管理员]
09:25:42:  胡蕊
09:26:47:  本地磁盘 (D:)
09:26:52:  DRB-New
09:27:02:  本地磁盘 (D:)
09:27:07:  00-KE64
09:27:12:  trunk
09:27:17:  D:\00-KE64\trunk - 版本库浏览器 - TortoiseSVN
09:27:32:  胡蕊
09:27:57:  D:\00-KE64\trunk - 版本库浏览器 - TortoiseSVN
09:28:02:  胡蕊
09:28:52:  trunk
09:28:57:  DRB-PRESS
09:29:12:  胡蕊
09:29:27:  00-KE64
09:29:32:  胡蕊
09:29:42:  trunk
09:29:52:  本地磁盘 (D:)
09:29:57:  BR-1-CashBox1T2-Press.txt - 记事本
09:28:52:  trunk
09:28:57:  DRB-PRESS
09:29:12:  胡蕊
09:29:27:  00-KE64
09:29:32:  胡蕊
09:29:42:  trunk
09:29:52:  本地磁盘 (D:)
09:29:57:  BR-1-CashBox1T2-Press.txt - 记事本
09:30:07:  胡蕊
09:30:22:  BR-1-CashBox1T2-Press.txt - 记事本
09:30:27:  DRB-PRESS
09:30:32:  ID-15 6#居右上腔50元大额取款197张报通道传输过程中卡钞超过最大长度持续遮挡SENSOR_UCS09 返回码0X80460210
09:30:37:  DRB钞箱工程样机系统测试问题列表.xlsx - Excel
09:31:22:  胡蕊
09:31:37:  DRB-New
09:31:42:  D:\00-06\DRB-New\branches\BR-1-CashBox1T2 - 日志信息 - TortoiseSVN
09:32:02:  BR-1-CashBox1T2
09:32:07:  新标签页 - Google Chrome
09:32:12:  SonarQube - Google Chrome
09:32:37:  项目 - Google Chrome
09:33:12:  BR-1-CashBox1T2
09:33:17:  D:\00-06\DRB-New\branches\BR-1-CashBox1T2 - 日志信息 - TortoiseSVN
09:33:27:  DRB-PRESS
09:33:32:  提交
09:33:37:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
09:34:12:  Initial.c - TortoiseMerge
09:34:22:  Update.c - TortoiseMerge
09:34:27:  D:\00-06\DRB-PRESS - 日志信息 - TortoiseSVN
09:34:37:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
09:35:07:  DRB-PRESS
09:35:12:  BR-1-CashBox1T2-Press.txt - 记事本
09:35:27:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
09:35:47:  项目 - Google Chrome
09:36:02:  settings.json - DRB-PRESS - Visual Studio Code [管理员]
09:36:07:  问题日志
09:36:12:  IMG_20200714_102900.jpg - Windows 照片查看器
09:36:17:  C:\Users\zhangkaifa\Documents\TcrFirmwareLogDecode.exe
09:36:22:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
09:36:57:  Decode
09:38:22:  K64-_BTCR-1100190802300005_20200714090443.log - DRB.tat* - TextAnalysisTool.NET
09:38:27:  Box_2__BTCR-1100190802300005_20200714102442.log - DRB.tat* - TextAnalysisTool.NET
09:38:32:  K64-_BTCR-1100190802300005_20200714102442.log - DRB.tat* - TextAnalysisTool.NET
09:38:47:  Box_2__BTCR-1100190802300005_20200714102442.log - DRB.tat* - TextAnalysisTool.NET
09:41:47:  ID-16 6#居左上腔20元RB21-RB4盘点272张报通道传输过程中卡钞 超过最大长度持续有钞  返回码0X874602B8
09:41:52:  捕获.PNG - Windows 照片查看器
09:41:57:  IMG_20200714_102803.jpg - Windows 照片查看器
09:42:02:  锁屏状态
09:42:07:  Box_2__BTCR-1100190802300005_20200714102442.log - DRB.tat* - TextAnalysisTool.NET
10:02:32:  ID-16 6#居左上腔20元RB21-RB4盘点272张报通道传输过程中卡钞 超过最大长度持续有钞  返回码0X874602B8
