08:00:43:  回复: DRB钞箱工程样机现有缺陷讨论会 会议纪要-----与总工沟通确认
09:17:40:  D:\00-06\1T1-Stop-Length\trunk\Middlewares\Track\Track.c (trunk) - Sublime Text (UNREGISTERED)
09:17:45:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
09:19:15:  自动播放
09:19:25:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:19:51:  计算器
09:20:01:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:20:51:  Build Output
09:20:56:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:26:21:  Toolbox
09:26:26:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:29:51:  张健4
09:29:56:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:29:51:  张健4
09:29:56:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:30:21:  张健4
09:30:41:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:30:56:  锁屏状态
09:31:01:  张健4
09:32:51:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:33:01:  张健4
09:35:06:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:35:11:  张健4
09:35:26:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:35:41:  张健4
09:35:46:  锁屏状态
09:35:51:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:41:21:  TCR调测工具（研发版）V1.0.0.4
09:44:41:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:44:41:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:46:06:  TCR调测工具（研发版）V1.0.0.4
09:46:11:  钞箱配置
09:46:16:  取款
09:46:26:  TCR调测工具（研发版）V1.0.0.4
09:46:41:  20200924
09:46:46:  Decode
09:46:51:  K64_0000_20200924094622.log - DRB.tat* - TextAnalysisTool.NET
09:48:26:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
09:48:56:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
09:49:31:  D:\00-06\1T1-Stop-Length\trunk\Applications\ErrCode\ErrCode.h (trunk) - Sublime Text (UNREGISTERED)
09:49:41:  D:\00-06\1T1-Stop-Length\trunk\Middlewares\Track\Track.c (trunk) - Sublime Text (UNREGISTERED)
09:49:51:  K64_0000_20200924094622.log - DRB.tat* - TextAnalysisTool.NET
09:50:21:  TCR调测工具（研发版）V1.0.0.4
09:51:36:  计算器
09:51:46:  桌面整理
09:52:01:  CRS电气资料.xlsx
09:52:12:  传感器AD值测试
09:52:17:  CRS电气资料.xlsx
09:52:27:  E:\深圳出差\CRS-64-1\Applications\CanComm\SlaveBoardComm\CSBoardCmd.h (CRS-64-1) - Sublime Text (UNREGISTERED)
09:52:32:  E:\深圳出差\CRS-64-1\Applications\CanComm\CanComm.h (CRS-64-1) - Sublime Text (UNREGISTERED)
