08:04:38:  ClassLog333.py - [C:\Users\zhangkaifa\AppData\Local\Temp\ClassLog333.py] - ClassLog333.py - PyCharm Community Edition 2017.1.5
08:49:43:  startup_MKE18F16.s - TortoiseMerge
08:49:53:  UpdateInfor.h - TortoiseMerge
08:49:58:  D:\CRS\KE18-BOOT - 工作副本 - TortoiseSVN
08:50:03:  Application.c - TortoiseMerge
08:50:13:  KE18-BOOT
08:50:18:  Project
08:50:28:  D:\CRS\KE18-BOOT\Project\ke18_boot.uvprojx - μVision
08:51:28:  μVision
08:51:33:  D:\CRS\KE18-BOOT\Project\ke18_boot.uvprojx - μVision
08:51:48:  μVision
08:51:53:  D:\CRS\KE18-BOOT\Project\ke18_boot.uvprojx - μVision
08:52:08:  μVision
08:52:13:  D:\CRS\KE18-BOOT\Project\ke18_boot.uvprojx - μVision
08:52:28:  μVision
08:52:33:  D:\CRS\KE18-BOOT\Project\ke18_boot.uvprojx - μVision
08:52:58:  D:\CRS\5555\Project\ke18_rtt.uvprojx - μVision
08:53:08:  TCR调测工具（研发版）V1.0.0.4
08:53:13:  打开
08:53:38:  TCR调测工具（研发版）V1.0.0.4
08:53:58:  打开
08:54:03:  TCR调测工具（研发版）V1.0.0.4
08:54:23:  CRS
08:54:28:  Windows 资源管理器
08:54:33:  G
08:54:38:  正在复制 
08:54:43:  正在复制 669 个项目(52.1 MB)
08:54:48:  剩余 15 分钟
08:55:48:  KE18-BOOT
09:07:58:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:10:33:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010220909.log
09:10:43:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:13:28:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010220913.log
09:13:33:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:14:58:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010220913.log
09:15:03:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:14:58:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010220913.log
09:15:03:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:15:48:  工作副本
09:15:58:  D:\CRS\5555 - 工作副本 - TortoiseSVN
09:16:03:  TortoiseMerge
09:16:08:  D:\CRS\5555 - 工作副本 - TortoiseSVN
09:16:13:  文件补丁  
09:16:18:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:35:24:  KE06LOG.bat - 快捷方式 (2)
09:35:29:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:35:44:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010220913.log
09:35:49:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010220935.log
09:35:59:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:47:59:  KE18-BOOT
09:48:04:  5555
09:48:14:  D:\CRS\5555 - 提交 - TortoiseSVN
09:48:19:  InstrExe.c - TortoiseMerge
09:48:29:  D:\CRS\5555\Project\ke18_rtt.uvprojx - μVision
09:48:39:  D:\CRS\5555 - 提交 - TortoiseSVN
09:48:49:  Update.h - TortoiseMerge
09:48:54:  Update.c - TortoiseMerge
09:49:04:  历史记录
09:49:09:  D:\CRS\5555 - 提交 - TortoiseSVN
09:50:39:  MemoryConfig.h - TortoiseMerge
09:50:54:  D:\CRS\5555 - 提交 - TortoiseSVN
09:50:59:  InstrExp.c - TortoiseMerge
09:51:04:  InstrExe.h - TortoiseMerge
09:51:09:  D:\CRS\5555 - 提交 - TortoiseSVN
09:52:04:  InstrExp.c - TortoiseMerge
09:52:14:  提交 完成！
09:52:19:  D:\CRS\KE18-BOOT\Project\ke18_boot.uvprojx - μVision
09:52:29:  Tools
09:52:39:  本地磁盘 (D:)
09:52:44:  D:\CRS\5555\Tools\CreateJK.exe
09:52:59:  Tools
09:53:14:  本地磁盘 (D:)
09:53:59:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:54:24:  Toolbox
09:54:29:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:09:49:  新标签页 - Google Chrome
10:09:54:  本地磁盘 (D:)
10:09:59:  钞箱1T2集成测试方案
10:10:09:  5.19 压钞托板测试.xls  [兼容模式] - Excel
10:10:14:  锁屏状态
10:10:24:  正在打开 - Excel
10:10:29:  5.6 步进电机测试V1.1.xls  [兼容模式] - Excel
10:13:34:  钞箱1T2集成测试方案
10:13:39:  正在打开 - Excel
10:13:44:  5.6 步进电机测试V1.1.xls  [兼容模式] - Excel
10:13:49:  钞箱1T2集成测试方案
10:15:19:  本地磁盘 (D:)
10:15:24:  删除多个项目
10:15:29:  爆仓问题(1)
10:15:34:  10元1元混合面额大额存款第217张报通道传输过程中卡钞 超过最大长度持续有钞  返回码0X894602B6
10:15:39:  Decode
10:16:09:  K64_BTCR-1100200600510420_20201022082652
10:16:14:  Box_4__BTCR-1100200600510420_20201022082652.log - [No filter file] - TextAnalysisTool.NET
10:16:19:  打开
