09:16:43:  RTT_SeggerLog_202101150915.log - DRB.tat* - TextAnalysisTool.NET
09:17:23:  TD回复格式.docx [兼容模式] - Word
09:17:43:  RTT_SeggerLog_202101150915.log - DRB.tat* - TextAnalysisTool.NET
09:18:08:  TD回复格式.docx [兼容模式] - Word
09:18:48:  RTT_SeggerLog_202101150915.log - DRB.tat* - TextAnalysisTool.NET
09:19:18:  TD回复格式.docx [兼容模式] - Word
09:19:43:  RTT_SeggerLog_202101150915.log - DRB.tat* - TextAnalysisTool.NET
09:20:43:  TD回复格式.docx [兼容模式] - Word
09:23:13:  RTT_SeggerLog_202101150915.log - DRB.tat* - TextAnalysisTool.NET
09:26:08:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
09:26:13:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
09:26:18:  RTT_SeggerLog_202101150915.log - DRB.tat* - TextAnalysisTool.NET
09:26:33:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
09:26:48:  接收
09:26:58:  回收 36 个项目(611 KB)
09:27:03:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
09:27:58:  00-06
09:28:03:  svnn
09:28:08:  工作副本
09:28:13:  00-06
09:28:18:  232
09:28:23:  1T1-82
09:28:28:  00-06
09:28:33:  工作副本
09:28:38:  TrackCtrl.c - TortoiseMerge
09:28:48:  D:\00-06\1T1-Stop-Length - 工作副本 - TortoiseSVN
09:28:53:  PlateCtrl.c - TortoiseMerge
09:29:08:  PaperManage.c - TortoiseMerge
09:29:18:  D:\00-06\1T1-Stop-Length - 工作副本 - TortoiseSVN
09:29:23:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
09:29:33:  RTT_SeggerLog_202101150926.log - DRB.tat* - TextAnalysisTool.NET
09:28:08:  工作副本
09:28:13:  00-06
09:28:18:  232
09:28:23:  1T1-82
09:28:28:  00-06
09:28:33:  工作副本
09:28:38:  TrackCtrl.c - TortoiseMerge
09:28:48:  D:\00-06\1T1-Stop-Length - 工作副本 - TortoiseSVN
09:28:53:  PlateCtrl.c - TortoiseMerge
09:29:08:  PaperManage.c - TortoiseMerge
09:29:18:  D:\00-06\1T1-Stop-Length - 工作副本 - TortoiseSVN
09:29:23:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
09:29:33:  RTT_SeggerLog_202101150926.log - DRB.tat* - TextAnalysisTool.NET
