10:51:41:  10.5-7CRS测试日志分析20201029.xlsx 属性
10:51:51:  10.5-10.7测试日志
10:51:56:  10.5-7CRS测试日志分析20201029.xlsx 属性
10:52:11:  10.5-10.7测试日志
10:52:16:  6.2.2.5 钞箱测试1T1 .xls  [兼容模式] - Excel
10:53:31:  自动播放
10:53:36:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:56:01:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:56:26:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
11:09:51:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
11:10:11:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
11:19:36:  TCR调测工具 V3.36
11:21:16:  取款
11:21:21:  TCR调测工具 V3.36
11:21:26:  于斌1
11:21:36:  TCR调测工具 V3.36
11:21:46:  于斌1
11:22:01:  Program Manager
11:22:31:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
11:22:36:  于斌1
11:22:51:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
11:23:06:  于斌1
11:26:56:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
11:41:11:  eSpace
11:41:16:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010301009.log
11:41:21:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
11:42:11:  钞箱配置
11:42:21:  TCR调测工具 V3.36
11:42:26:  BTCRTestTool
11:42:31:  TCR调测工具 V3.36
11:42:36:  密码锁
11:42:41:  所有笔记本 - 张开发 - 印象笔记
11:42:51:  TCR调测工具 V3.36
11:44:26:  锁屏状态
11:44:26:  锁屏状态
13:59:23:  TCR调测工具 V3.36
13:59:23:  TCR调测工具 V3.36
14:00:53:  取款
14:00:58:  TCR调测工具 V3.36
14:04:33:  锁屏状态
14:04:38:  反向盘点报1T2下层托板 托板移动到堆钞位置，到位超时 返回码0X01220401.rar
14:04:48:  fenxi
14:04:53:  新建文件夹 (3)
14:05:03:  Decode
14:05:08:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
14:05:38:  LOG
14:05:43:  K64_BTCR-1100200600510420_20201031135254
14:06:23:  荆文波
14:06:28:  LOG
14:06:33:  Box_1__BTCR-1100200600510420_20201031135254.log - DRB.tat - TextAnalysisTool.NET
14:06:48:  Box_1__BTCR-1100200600510420_20201031135254.log - DRB.tat* - TextAnalysisTool.NET
14:07:03:  荆文波
14:07:18:  TCR调测工具 V3.36
14:08:13:  荆文波
14:08:48:  TCR调测工具 V3.36
14:08:53:  荆文波
14:09:13:  TCR调测工具 V3.36
14:09:18:  荆文波
14:11:03:  TCR调测工具 V3.36
14:12:03:  C:\Users\zhangkaifa\Desktop\固件用TCR整机2D图-20180502.exb - CAXA电子图板2005(企业版)
14:16:23:  TCR调测工具 V3.36
16:09:09:  锁屏状态
16:09:19:  TCR调测工具 V3.36
16:09:29:  副本10.5-7CRS测试日志分析20201029
16:09:34:  TCR调测工具 V3.36
16:09:44:  6.2.2.5 钞箱测试1T1 .xls  [兼容模式] - Excel
16:09:49:  K64_BTCR-1100200600510420_20201031135254
16:09:54:  C:\Users\zhangkaifa\Desktop\固件用TCR整机2D图-20180502.exb - CAXA电子图板2005(企业版)
16:09:59:  Box_1__BTCR-1100200600510420_20201031135254.log - DRB.tat* - TextAnalysisTool.NET
16:10:14:  「开始」菜单
16:10:29:  桌面整理
16:10:34:  Box_1__BTCR-1100200600510420_20201031135254.log - DRB.tat* - TextAnalysisTool.NET
16:10:39:  Box_1__BTCR-1100200600510420_20201031144747.log - DRB.tat* - TextAnalysisTool.NET
16:11:29:  新建文件夹 (2)
16:11:34:  Box_1__BTCR-1100200600510420_20201031145405.log - DRB.tat* - TextAnalysisTool.NET
16:12:29:  D:\00-06\DRB--\Applications\State\State.c (DRB--) - Sublime Text (UNREGISTERED)
16:12:59:  D:\00-06\DRB--\Applications\PlateCtrl\LowerPlateCtrl.c (DRB--) - Sublime Text (UNREGISTERED)
16:13:24:  桌面整理
16:13:39:  锁屏状态
