10:14:40:  PaperManage.c - trunk - Visual Studio Code [管理员]
10:15:35:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
10:15:40:  KE06LOG.bat - 快捷方式 (2)
10:15:45:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
10:16:50:  RTT_SeggerLog_202101181015.log - DRB.tat* - TextAnalysisTool.NET
10:17:00:  PaperManage.c - trunk - Visual Studio Code [管理员]
10:19:30:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
10:21:15:  TD回复格式.docx [兼容模式] - Word
10:21:20:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
10:22:15:  本地磁盘 (D:)
10:22:25:  Tools
10:22:30:  运行
10:22:45:  01 CRS项目
10:22:50:  CRS
10:23:40:  SECSplashWnd
10:23:45:  D:\CRS\KE18-VERSION1\Project\ke18_rtt.uvprojx - μVision
10:24:00:  KE18-VERSION1
10:24:05:  D:\CRS\KE18-VERSION1\Project\ke18_rtt.uvprojx - μVision
10:24:10:  D:\CRS\KE18-VERSION1\Tools\CreateJK.exe
10:24:15:  Program Manager
10:24:20:  G
10:25:15:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
10:26:00:  RTT_SeggerLog_202101181020.log - DRB.tat* - TextAnalysisTool.NET
10:27:50:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
10:28:00:  RTT_SeggerLog_202101181020.log - DRB.tat* - TextAnalysisTool.NET
10:28:10:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
10:29:05:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
10:28:10:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
10:29:05:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
10:31:35:  RTT_SeggerLog_202101181031.log - DRB.tat* - TextAnalysisTool.NET
10:34:00:  PaperManage.c - trunk - Visual Studio Code [管理员]
10:34:40:  RTT_SeggerLog_202101181031.log - DRB.tat* - TextAnalysisTool.NET
10:35:00:  PaperManage.c - trunk - Visual Studio Code [管理员]
10:37:20:  D:\CRS\KE18-VERSION1\Applications\ImpellerCtrl\ImpellerCtrl.c (KE18-VERSION1) - Sublime Text (UNREGISTERED)
10:39:30:  RTT_SeggerLog_202101181031.log - DRB.tat* - TextAnalysisTool.NET
10:39:35:  本地磁盘 (D:)
10:39:40:  CashRecyclerTool 属性
10:39:45:  20210113
10:39:50:  Decode
10:39:55:  CS_0000_20210113153213.log - DRB.tat* - TextAnalysisTool.NET
10:41:10:  D:\CRS\KE18-VERSION1\Applications\ImpellerCtrl\ImpellerCtrl.c (KE18-VERSION1) - Sublime Text (UNREGISTERED)
10:41:30:  CS_0000_20210113153213.log - DRB.tat* - TextAnalysisTool.NET
10:43:15:  CS_0000_20210113152607.log - DRB.tat* - TextAnalysisTool.NET
