08:41:54:  Box_4__BTCR-1100200400210043_20210318083912.log - DRB2.tat* - TextAnalysisTool.NET
08:42:29:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
08:42:44:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
08:42:49:  D:\00-06\DRB\Applications\Track\Track.c (DRB) - Sublime Text (UNREGISTERED)
08:42:54:  eSpace
08:42:59:  DRB
08:43:04:  Tools
08:43:14:  TCR调测工具 V3.36
08:43:19:  丛柏屹
08:43:29:  eSpace
08:43:34:  丛柏屹
08:43:39:  TCR调测工具 V3.36
08:44:29:  20180613 TCR内部指令手册_V001.xlsx - Excel
08:44:29:  20180613 TCR内部指令手册_V001.xlsx - Excel
08:45:44:  TCR调测工具 V3.36
08:45:49:  20180613 TCR内部指令手册_V001.xlsx - Excel
08:45:54:  CRS调测工具（研发版）V1.0.2.1
08:50:04:  丛柏屹
08:50:24:  BTCR-1100_BOX1T2_KE06_FV1002_EXTFEDU6V13_MAIN_T23 - 写邮件
08:51:09:  20180613 TCR内部指令手册_V001.xlsx - Excel
08:51:14:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
08:51:19:  Tools
08:51:24:  D:\00-06\DRB\Tools\CreateJK.exe
08:51:29:  TCR调测工具 V3.36
08:51:39:  副本6.2.2.6 钞箱测试1T2 (2).xls  [兼容模式] - Excel
08:51:44:  20180613 TCR内部指令手册_V001.xlsx - Excel
08:51:54:  发送指令到K06
08:52:09:  TCR调测工具 V3.36
08:54:04:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
08:57:35:  TCR调测工具 V3.36
08:58:00:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
08:58:05:  TCR调测工具 V3.36
08:58:05:  TCR调测工具 V3.36
09:00:35:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:02:25:  00-06
09:02:30:  trunk
09:02:35:  Project
09:02:40:  D:\00-06\BOOT\trunk\Project\CashBox_Boot.uvprojx - μVision
09:02:55:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:06:55:  Toolbox
09:07:00:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:11:35:  Build Output
09:11:40:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:11:45:  Build Output
09:11:50:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:13:25:  μVision
09:13:30:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:16:00:  TCR调测工具 V3.36
09:19:35:  0-工作 - 张开发 - 印象笔记
09:19:45:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:19:50:  TCR调测工具 V3.36
09:21:10:  取款
09:21:15:  TCR调测工具 V3.36
09:21:20:  取款
09:21:25:  TCR调测工具 V3.36
09:23:20:  取款
09:23:25:  TCR调测工具 V3.36
09:23:50:  计算器
09:24:10:  TCR调测工具 V3.36
09:25:10:  取款
09:25:15:  TCR调测工具 V3.36
09:26:45:  BTCRTestTool 属性
09:26:50:  TCRControlCmdDLL
09:26:55:  20210318
09:29:30:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
09:29:30:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
09:30:05:  Decode
09:30:10:  LOG
09:30:15:  Box_4__BTCR-1100200400210043_20210318092513.log - DRB2.tat* - TextAnalysisTool.NET
09:31:15:  log
09:31:20:  20210318
09:31:25:  Decode
09:31:30:  Box_4__BTCR-1100200400210043_20210318092513.log - DRB2.tat* - TextAnalysisTool.NET
09:34:50:  D:\00-06\DRB\Applications\Track\Track.c (DRB) - Sublime Text (UNREGISTERED)
09:34:55:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
09:35:20:  D:\00-06\DRB\Middlewares\Log\Log.c • (DRB) - Sublime Text (UNREGISTERED)
09:36:35:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecord_Examples.c (DRB) - Sublime Text (UNREGISTERED)
09:36:45:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecordMoudle.c (DRB) - Sublime Text (UNREGISTERED)
09:36:55:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\easyflash\src\ef_log.c (DRB) - Sublime Text (UNREGISTERED)
09:37:20:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\easyflash\inc\ef_cfg.h (DRB) - Sublime Text (UNREGISTERED)
09:37:25:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\easyflash\src\ef_log.c (DRB) - Sublime Text (UNREGISTERED)
09:37:40:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecord_Examples.c (DRB) - Sublime Text (UNREGISTERED)
09:40:00:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecordMoudle.c (DRB) - Sublime Text (UNREGISTERED)
09:40:15:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecord_Examples.c (DRB) - Sublime Text (UNREGISTERED)
09:44:56:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecordMoudle.c (DRB) - Sublime Text (UNREGISTERED)
09:44:56:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecordMoudle.c (DRB) - Sublime Text (UNREGISTERED)
09:45:11:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\easyflash\src\ef_log.c (DRB) - Sublime Text (UNREGISTERED)
09:45:56:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecordMoudle.c (DRB) - Sublime Text (UNREGISTERED)
09:46:01:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecord_Examples.c (DRB) - Sublime Text (UNREGISTERED)
09:46:06:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecordMoudle.c (DRB) - Sublime Text (UNREGISTERED)
09:47:11:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecord_Examples.c (DRB) - Sublime Text (UNREGISTERED)
09:47:36:  D:\00-06\DRB\Middlewares\Log\Log.c • (DRB) - Sublime Text (UNREGISTERED)
09:48:01:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecord_Examples.c (DRB) - Sublime Text (UNREGISTERED)
09:48:21:  D:\00-06\DRB\Middlewares\Log\Log.c • (DRB) - Sublime Text (UNREGISTERED)
09:49:11:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
09:49:41:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:50:31:  00-06
09:50:36:  D:\00-06\DRB\Tools\CreateJK.exe
09:50:41:  TCR调测工具 V3.36
09:51:36:  20210318
09:51:41:  Decode
09:51:46:  Box_4__BTCR-1100200400210043_20210318092513.log - DRB2.tat* - TextAnalysisTool.NET
09:51:51:  Box_4__BTCR-1100200400210043_20210318095057.log - DRB2.tat* - TextAnalysisTool.NET
09:52:06:  K64_BTCR-1100200400210043_20210318095057
09:52:11:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:55:46:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecord_Examples.c (DRB) - Sublime Text (UNREGISTERED)
09:56:11:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\easyflash\src\ef_log.c (DRB) - Sublime Text (UNREGISTERED)
09:56:41:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecord_Examples.c (DRB) - Sublime Text (UNREGISTERED)
09:56:51:   - 版本库浏览器 - TortoiseSVN
09:57:16:  正在打开 - Word
09:57:31:  锁屏状态
09:57:36:  正在打开 - Word
09:58:01:   - 版本库浏览器 - TortoiseSVN
09:58:06:  锁屏状态
